Format Version,1.24,Take Name,F-110_001,Take Notes,,Capture Frame Rate,360.000000,Export Frame Rate,360.000000,Capture Start Time,2026-08-27 06.05.19.472 PM,Capture Start Frame,191190,Total Frames in Take,2629,Total Exported Frames,2629,Rotation Type,Quaternion,Length Units,Millimeters,Coordinate Space,Global

,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Unlabeled 1602,Unlabeled 1602,Unlabeled 1602,Unlabeled 1603,Unlabeled 1603,Unlabeled 1603,Unlabeled 1604,Unlabeled 1604,Unlabeled 1604,Unlabeled 1605,Unlabeled 1605,Unlabeled 1605,Unlabeled 1606,Unlabeled 1606,Unlabeled 1606,Unlabeled 1607,Unlabeled 1607,Unlabeled 1607,Unlabeled 1608,Unlabeled 1608,Unlabeled 1608,Unlabeled 1609,Unlabeled 1609,Unlabeled 1609,Unlabeled 1610,Unlabeled 1610,Unlabeled 1610,Unlabeled 1611,Unlabeled 1611,Unlabeled 1611,Unlabeled 1612,Unlabeled 1612,Unlabeled 1612,Unlabeled 1613,Unlabeled 1613,Unlabeled 1613,Unlabeled 1614,Unlabeled 1614,Unlabeled 1614,Unlabeled 1615,Unlabeled 1615,Unlabeled 1615,Unlabeled 1616,Unlabeled 1616,Unlabeled 1616,Unlabeled 1617,Unlabeled 1617,Unlabeled 1617,Unlabeled 1618,Unlabeled 1618,Unlabeled 1618,Unlabeled 1619,Unlabeled 1619,Unlabeled 1619,Unlabeled 1620,Unlabeled 1620,Unlabeled 1620,Unlabeled 1621,Unlabeled 1621,Unlabeled 1621,Unlabeled 1622,Unlabeled 1622,Unlabeled 1622,Unlabeled 1623,Unlabeled 1623,Unlabeled 1623,Unlabeled 1624,Unlabeled 1624,Unlabeled 1624,Unlabeled 1625,Unlabeled 1625,Unlabeled 1625,Unlabeled 1626,Unlabeled 1626,Unlabeled 1626,Unlabeled 1627,Unlabeled 1627,Unlabeled 1627,Unlabeled 1628,Unlabeled 1628,Unlabeled 1628,Unlabeled 1629,Unlabeled 1629,Unlabeled 1629,Unlabeled 1630,Unlabeled 1630,Unlabeled 1630,Unlabeled 1631,Unlabeled 1631,Unlabeled 1631,Unlabeled 1632,Unlabeled 1632,Unlabeled 1632,Unlabeled 1633,Unlabeled 1633,Unlabeled 1633,Unlabeled 1634,Unlabeled 1634,Unlabeled 1634
,ID,"1D5A0DB15A22F11F1","1D5A0DB15A22F11F1","1D5A0DB15A22F11F1","2D5A0DB15A22F11F1","2D5A0DB15A22F11F1","2D5A0DB15A22F11F1","3D5A0DB15A22F11F1","3D5A0DB15A22F11F1","3D5A0DB15A22F11F1","4D5A0DB15A22F11F1","4D5A0DB15A22F11F1","4D5A0DB15A22F11F1","5D5A0DB15A22F11F1","5D5A0DB15A22F11F1","5D5A0DB15A22F11F1","6D5A0DB15A22F11F1","6D5A0DB15A22F11F1","6D5A0DB15A22F11F1","9D5A0DB15A22F11F1","9D5A0DB15A22F11F1","9D5A0DB15A22F11F1","AD5A0DB15A22F11F1","AD5A0DB15A22F11F1","AD5A0DB15A22F11F1","BD5A0DB15A22F11F1","BD5A0DB15A22F11F1","BD5A0DB15A22F11F1","CD5A0DB15A22F11F1","CD5A0DB15A22F11F1","CD5A0DB15A22F11F1","DD5A0DB15A22F11F1","DD5A0DB15A22F11F1","DD5A0DB15A22F11F1","ED5A0DB15A22F11F1","ED5A0DB15A22F11F1","ED5A0DB15A22F11F1","10D5A0DB15A22F11F1","10D5A0DB15A22F11F1","10D5A0DB15A22F11F1","11D5A0DB15A22F11F1","11D5A0DB15A22F11F1","11D5A0DB15A22F11F1","12D5A0DB15A22F11F1","12D5A0DB15A22F11F1","12D5A0DB15A22F11F1","13D5A0DB15A22F11F1","13D5A0DB15A22F11F1","13D5A0DB15A22F11F1","14D5A0DB15A22F11F1","14D5A0DB15A22F11F1","14D5A0DB15A22F11F1","15D5A0DB15A22F11F1","15D5A0DB15A22F11F1","15D5A0DB15A22F11F1","16D5A0DB15A22F11F1","16D5A0DB15A22F11F1","16D5A0DB15A22F11F1","17D5A0DB15A22F11F1","17D5A0DB15A22F11F1","17D5A0DB15A22F11F1","1AD5A0DB15A22F11F1","1AD5A0DB15A22F11F1","1AD5A0DB15A22F11F1","1BD5A0DB15A22F11F1","1BD5A0DB15A22F11F1","1BD5A0DB15A22F11F1","1CD5A0DB15A22F11F1","1CD5A0DB15A22F11F1","1CD5A0DB15A22F11F1","1DD5A0DB15A22F11F1","1DD5A0DB15A22F11F1","1DD5A0DB15A22F11F1","21D5A0DB15A22F11F1","21D5A0DB15A22F11F1","21D5A0DB15A22F11F1","43D5A0DB15A22F11F1","43D5A0DB15A22F11F1","43D5A0DB15A22F11F1","4FD5A0DB15A22F11F1","4FD5A0DB15A22F11F1","4FD5A0DB15A22F11F1","52D5A0DB15A22F11F1","52D5A0DB15A22F11F1","52D5A0DB15A22F11F1","59D5A0DB15A22F11F1","59D5A0DB15A22F11F1","59D5A0DB15A22F11F1","5ED5A0DB15A22F11F1","5ED5A0DB15A22F11F1","5ED5A0DB15A22F11F1","60D5A0DB15A22F11F1","60D5A0DB15A22F11F1","60D5A0DB15A22F11F1","61D5A0DB15A22F11F1","61D5A0DB15A22F11F1","61D5A0DB15A22F11F1","63D5A0DB15A22F11F1","63D5A0DB15A22F11F1","63D5A0DB15A22F11F1"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,-2811.081543,691.854187,508.450989,-2793.171631,757.066711,642.029480,-2760.281738,759.306824,632.898987,-2726.274658,747.833679,513.720215,-2771.696289,1407.657593,939.874451,-2718.366943,1473.059692,941.189941,-1578.880737,132.113571,535.339294,-1558.738647,96.486137,621.288330,-1566.165771,90.425964,664.429199,-2729.556152,748.712402,479.459656,-2874.048828,713.070374,508.169586,-2844.564453,698.447510,565.559265,-2547.641113,929.165771,599.743713,-2710.087646,1191.793213,516.552856,-2522.627686,895.919556,666.991882,-2688.631348,1394.185547,941.486511,-1515.045166,446.572296,1305.980591,-1598.009644,456.266022,1310.199585,-1547.301636,524.041687,1310.269043,-2783.618896,1165.539673,616.295715,-2803.426270,793.163757,631.686646,-2509.292480,969.514771,549.162476,-2815.457520,756.648499,473.407806,-1574.494507,139.390640,493.456421,-2819.514160,757.583496,428.235779,-1378.061768,-60.499294,670.340759,-1371.654663,-53.946880,627.837097,-2126.683105,948.179565,965.990723,-1358.275146,-25.331362,481.382080,-2721.770752,1159.010132,616.884216,-2100.053467,969.346191,888.978516,-2151.217773,903.145081,899.191223,-2481.159668,942.886536,486.075470
1,0.002778,-2811.075195,691.850220,508.454559,-2793.168701,757.076416,642.024109,-2760.273926,759.277222,632.920715,-2726.270264,747.831238,513.703979,-2771.692871,1407.668823,939.873169,-2718.370361,1473.058350,941.168457,-1578.970825,132.271515,535.419739,-1558.768921,96.453621,621.337097,-1566.157471,90.422264,664.458740,-2729.535400,748.678955,479.468781,-2874.067139,713.106079,508.101288,-2844.537109,698.449463,565.537842,-2547.623291,929.167542,599.732788,-2710.081299,1191.805908,516.558289,-2522.564209,895.959290,666.959534,-2688.587891,1394.138916,941.499634,-1515.043823,446.527832,1305.990234,-1598.040161,456.288452,1310.166748,-1547.300171,524.049500,1310.265015,-2783.610596,1165.570312,616.301086,-2803.424561,793.170227,631.687012,-2509.307617,969.509216,549.160217,-2815.444824,756.655884,473.373688,-1574.473877,139.404999,493.430634,-2819.525879,757.585632,428.228943,-1378.033691,-60.473972,670.400085,-1371.620605,-53.935932,627.790710,-2126.682861,948.190308,965.988892,-1358.317139,-25.370337,481.400696,-2721.788574,1159.023315,616.864075,-2100.057373,969.312500,888.940186,-2151.280029,903.192749,899.118591,-2481.195557,942.846375,486.111115
2,0.005556,-2811.056152,691.831116,508.483276,-2793.179199,757.083435,641.999878,-2760.276123,759.278870,632.936096,-2726.269775,747.844238,513.682129,-2771.696777,1407.671753,939.865723,-2718.351562,1473.055908,941.138000,-1578.941650,132.288055,535.413269,-1558.809814,96.507950,621.372070,-1566.134766,90.415947,664.467957,-2729.516357,748.650696,479.490265,-2874.068604,713.114868,508.086975,-2844.537598,698.456970,565.515198,-2547.641602,929.160583,599.740906,-2710.031250,1191.796875,516.613037,-2522.533203,895.968445,666.940063,-2688.609863,1394.177979,941.493958,-1515.055176,446.517181,1306.004150,-1598.040161,456.315918,1310.128174,-1547.289551,524.078369,1310.266357,-2783.596436,1165.583618,616.275757,-2803.380371,793.174622,631.682251,-2509.261230,969.511658,549.207947,-2815.456787,756.669250,473.345642,-1574.436768,139.446960,493.426331,-2819.505615,757.604370,428.234283,-1377.951416,-60.458920,670.418579,-1371.528931,-53.852032,627.763550,-2126.667969,948.178528,965.974243,-1358.265381,-25.335463,481.339569,-2721.805176,1159.023926,616.869446,-2100.068115,969.309631,888.940308,-2151.304688,903.215332,899.082825,-2481.189697,942.829163,486.110321
3,0.008333,-2810.995117,691.775635,508.551666,-2793.191162,757.113098,641.954102,-2760.258789,759.256104,632.944336,-2726.267334,747.857422,513.652527,-2771.709961,1407.687744,939.844727,-2718.355225,1473.071411,941.124329,-1578.831055,132.129593,535.288025,-1558.901855,96.523766,621.426758,-1566.141602,90.427696,664.431030,-2729.538086,748.653381,479.510468,-2874.215088,713.072083,508.132996,-2844.515625,698.467102,565.523865,-2547.629150,929.186401,599.720276,-2710.019531,1191.790283,516.620178,-2522.521240,895.973511,666.937012,-2688.603027,1394.176025,941.508179,-1515.059448,446.468750,1306.014160,-1598.037720,456.350952,1310.095825,-1547.276489,524.092346,1310.261841,-2783.595703,1165.595703,616.291199,-2803.362793,793.197327,631.670959,-2509.264893,969.505554,549.206543,-2815.436523,756.675537,473.315033,-1574.434570,139.447174,493.408997,-2819.499512,757.598572,428.231049,-1377.935547,-60.474457,670.407104,-1371.523438,-53.871532,627.752869,-2126.650391,948.170288,965.969482,-1358.179321,-25.327501,481.309052,-2721.814697,1159.023926,616.837952,-2100.071533,969.301025,888.919312,-2151.323242,903.223633,899.000671,-2481.205811,942.760193,486.167938
4,0.011111,-2810.969238,691.751587,508.570007,-2793.197510,757.122131,641.904602,-2760.217041,759.212524,632.990417,-2726.273193,747.875549,513.633850,-2771.708252,1407.700562,939.828857,-2718.352295,1473.067627,941.101685,-1578.819336,132.120529,535.277466,-1559.007202,96.547119,621.514465,-1566.114746,90.432243,664.442932,-2729.512695,748.632385,479.528259,-2874.099121,713.094727,508.043457,-2844.504395,698.485596,565.498474,-2547.632080,929.184692,599.720642,-2709.981689,1191.788574,516.654907,-2522.501221,895.986816,666.920166,-2688.599121,1394.177490,941.509583,-1515.062256,446.485474,1306.038818,-1598.044800,456.361938,1310.060181,-1547.265991,524.110168,1310.267090,-2783.582520,1165.624390,616.281189,-2803.004883,793.131592,631.529297,-2509.270264,969.492981,549.189148,-2815.445312,756.664490,473.271820,-1574.574463,139.466782,493.510437,-2819.501465,757.633789,428.260162,-1377.895142,-60.464581,670.464905,-1371.503174,-53.836823,627.725037,-2126.662109,948.187988,965.944275,-1358.140625,-25.296427,481.314117,-2721.812012,1159.014404,616.847717,-2100.077637,969.296509,888.918030,-2151.343994,903.273254,898.912659,-2481.212646,942.746765,486.184296
5,0.013889,-2810.966553,691.758301,508.573486,-2793.204102,757.138489,641.852356,-2760.211426,759.194702,633.013977,-2726.270020,747.891968,513.617249,-2771.687744,1407.696411,939.820374,-2718.350098,1473.078979,941.072449,-1578.908691,132.297012,535.336975,-1559.121704,96.547523,621.606140,-1566.103882,90.445602,664.431885,-2729.526367,748.614258,479.556396,-2874.068115,713.101379,508.048401,-2844.483154,698.482544,565.500183,-2547.622070,929.185120,599.703918,-2709.957031,1191.766357,516.688110,-2522.473389,896.042114,666.911255,-2688.567627,1394.172119,941.525452,-1515.058105,446.471039,1306.062622,-1598.035034,456.340820,1310.048706,-1547.255249,524.128601,1310.269287,-2783.611084,1165.648926,616.269287,-2802.807129,793.087219,631.464417,-2509.246094,969.489136,549.218994,-2815.436279,756.695496,473.247131,-1574.528809,139.466202,493.488953,-2819.492676,757.624390,428.237061,-1378.058716,-60.309357,670.844116,-1371.461914,-53.820282,627.734009,-2126.636475,948.196167,965.931458,-1358.128296,-25.276094,481.281769,-2721.809326,1159.012085,616.793640,-2100.077148,969.278992,888.899780,-2151.341309,903.265198,898.860535,-2481.234619,942.700378,486.225861
