Format Version,1.24,Take Name,F60_001,Take Notes,,Capture Frame Rate,360.000000,Export Frame Rate,360.000000,Capture Start Time,2026-08-27 06.00.33.420 PM,Capture Start Frame,88213,Total Frames in Take,2350,Total Exported Frames,2350,Rotation Type,Quaternion,Length Units,Millimeters,Coordinate Space,Global

,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Unlabeled 1134,Unlabeled 1134,Unlabeled 1134,Unlabeled 1135,Unlabeled 1135,Unlabeled 1135,Unlabeled 1136,Unlabeled 1136,Unlabeled 1136,Unlabeled 1137,Unlabeled 1137,Unlabeled 1137,Unlabeled 1138,Unlabeled 1138,Unlabeled 1138,Unlabeled 1139,Unlabeled 1139,Unlabeled 1139,Unlabeled 1140,Unlabeled 1140,Unlabeled 1140,Unlabeled 1141,Unlabeled 1141,Unlabeled 1141,Unlabeled 1142,Unlabeled 1142,Unlabeled 1142,Unlabeled 1143,Unlabeled 1143,Unlabeled 1143,Unlabeled 1144,Unlabeled 1144,Unlabeled 1144,Unlabeled 1145,Unlabeled 1145,Unlabeled 1145,Unlabeled 1146,Unlabeled 1146,Unlabeled 1146,Unlabeled 1147,Unlabeled 1147,Unlabeled 1147,Unlabeled 1148,Unlabeled 1148,Unlabeled 1148,Unlabeled 1149,Unlabeled 1149,Unlabeled 1149,Unlabeled 1150,Unlabeled 1150,Unlabeled 1150,Unlabeled 1151,Unlabeled 1151,Unlabeled 1151,Unlabeled 1152,Unlabeled 1152,Unlabeled 1152,Unlabeled 1153,Unlabeled 1153,Unlabeled 1153,Unlabeled 1154,Unlabeled 1154,Unlabeled 1154,Unlabeled 1155,Unlabeled 1155,Unlabeled 1155,Unlabeled 1156,Unlabeled 1156,Unlabeled 1156,Unlabeled 1157,Unlabeled 1157,Unlabeled 1157,Unlabeled 1158,Unlabeled 1158,Unlabeled 1158,Unlabeled 1159,Unlabeled 1159,Unlabeled 1159,Unlabeled 1160,Unlabeled 1160,Unlabeled 1160,Unlabeled 1161,Unlabeled 1161,Unlabeled 1161,Unlabeled 1162,Unlabeled 1162,Unlabeled 1162,Unlabeled 1163,Unlabeled 1163,Unlabeled 1163,Unlabeled 1164,Unlabeled 1164,Unlabeled 1164,Unlabeled 1165,Unlabeled 1165,Unlabeled 1165,Unlabeled 1166,Unlabeled 1166,Unlabeled 1166,Unlabeled 1167,Unlabeled 1167,Unlabeled 1167
,ID,"1D5A0DB15A22F11F1","1D5A0DB15A22F11F1","1D5A0DB15A22F11F1","2D5A0DB15A22F11F1","2D5A0DB15A22F11F1","2D5A0DB15A22F11F1","3D5A0DB15A22F11F1","3D5A0DB15A22F11F1","3D5A0DB15A22F11F1","4D5A0DB15A22F11F1","4D5A0DB15A22F11F1","4D5A0DB15A22F11F1","5D5A0DB15A22F11F1","5D5A0DB15A22F11F1","5D5A0DB15A22F11F1","6D5A0DB15A22F11F1","6D5A0DB15A22F11F1","6D5A0DB15A22F11F1","7D5A0DB15A22F11F1","7D5A0DB15A22F11F1","7D5A0DB15A22F11F1","9D5A0DB15A22F11F1","9D5A0DB15A22F11F1","9D5A0DB15A22F11F1","AD5A0DB15A22F11F1","AD5A0DB15A22F11F1","AD5A0DB15A22F11F1","BD5A0DB15A22F11F1","BD5A0DB15A22F11F1","BD5A0DB15A22F11F1","CD5A0DB15A22F11F1","CD5A0DB15A22F11F1","CD5A0DB15A22F11F1","DD5A0DB15A22F11F1","DD5A0DB15A22F11F1","DD5A0DB15A22F11F1","ED5A0DB15A22F11F1","ED5A0DB15A22F11F1","ED5A0DB15A22F11F1","10D5A0DB15A22F11F1","10D5A0DB15A22F11F1","10D5A0DB15A22F11F1","11D5A0DB15A22F11F1","11D5A0DB15A22F11F1","11D5A0DB15A22F11F1","12D5A0DB15A22F11F1","12D5A0DB15A22F11F1","12D5A0DB15A22F11F1","13D5A0DB15A22F11F1","13D5A0DB15A22F11F1","13D5A0DB15A22F11F1","14D5A0DB15A22F11F1","14D5A0DB15A22F11F1","14D5A0DB15A22F11F1","15D5A0DB15A22F11F1","15D5A0DB15A22F11F1","15D5A0DB15A22F11F1","16D5A0DB15A22F11F1","16D5A0DB15A22F11F1","16D5A0DB15A22F11F1","17D5A0DB15A22F11F1","17D5A0DB15A22F11F1","17D5A0DB15A22F11F1","1AD5A0DB15A22F11F1","1AD5A0DB15A22F11F1","1AD5A0DB15A22F11F1","1BD5A0DB15A22F11F1","1BD5A0DB15A22F11F1","1BD5A0DB15A22F11F1","1CD5A0DB15A22F11F1","1CD5A0DB15A22F11F1","1CD5A0DB15A22F11F1","1DD5A0DB15A22F11F1","1DD5A0DB15A22F11F1","1DD5A0DB15A22F11F1","1ED5A0DB15A22F11F1","1ED5A0DB15A22F11F1","1ED5A0DB15A22F11F1","1FD5A0DB15A22F11F1","1FD5A0DB15A22F11F1","1FD5A0DB15A22F11F1","20D5A0DB15A22F11F1","20D5A0DB15A22F11F1","20D5A0DB15A22F11F1","21D5A0DB15A22F11F1","21D5A0DB15A22F11F1","21D5A0DB15A22F11F1","2BD5A0DB15A22F11F1","2BD5A0DB15A22F11F1","2BD5A0DB15A22F11F1","31D5A0DB15A22F11F1","31D5A0DB15A22F11F1","31D5A0DB15A22F11F1","37D5A0DB15A22F11F1","37D5A0DB15A22F11F1","37D5A0DB15A22F11F1","38D5A0DB15A22F11F1","38D5A0DB15A22F11F1","38D5A0DB15A22F11F1","39D5A0DB15A22F11F1","39D5A0DB15A22F11F1","39D5A0DB15A22F11F1"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,-2848.018799,704.734802,506.935822,-2792.718262,756.814331,635.992004,-2760.005859,759.191284,627.949341,-2746.465576,698.907043,510.227081,-2771.648682,1407.699219,939.865356,-2718.308105,1473.036621,941.074707,-2103.982422,972.851929,944.321960,-1578.833862,132.082001,535.146851,-1559.133667,96.593956,621.574341,-1566.134155,90.424347,664.448608,-2749.672119,700.196655,476.683380,-2887.239746,758.053711,504.045471,-2870.229492,733.148376,563.040894,-2547.638184,929.192322,599.767883,-2710.142822,1191.792969,516.653137,-2522.464600,896.059326,666.959229,-2688.562256,1394.219482,941.388672,-1515.046021,446.529327,1305.977539,-1597.984009,456.337067,1310.091431,-1547.369385,524.109314,1310.284790,-2783.700439,1165.596191,616.153809,-2803.160645,792.990601,626.402832,-2509.210449,969.512573,549.171692,-2815.046387,757.554443,468.776855,-1574.459473,139.436783,493.441681,-1358.239136,-25.269238,481.390259,-1371.573120,-53.856758,627.818420,-1377.875732,-60.441471,670.307861,-2817.260498,757.255798,420.992737,-2156.895020,907.441101,942.470886,-2123.578613,938.407959,870.732910,-2721.607178,1158.997681,616.755127,-2794.397217,754.851135,590.634277,-2481.333740,942.885498,486.038849
1,0.002778,-2848.012939,704.713684,506.974030,-2792.699707,756.800781,636.075439,-2760.017578,759.202881,627.948364,-2746.478760,698.898010,510.240021,-2771.634521,1407.687622,939.876526,-2718.329590,1473.038330,941.118713,-2104.002686,972.877197,944.384949,-1578.838379,132.069077,535.177979,-1559.024170,96.567291,621.481934,-1566.140137,90.448219,664.441162,-2749.682373,700.226807,476.662415,-2887.238037,758.033264,504.073395,-2870.221436,733.140991,563.070007,-2547.628418,929.198364,599.789551,-2710.148438,1191.794678,516.655457,-2522.485352,896.053650,666.961548,-2688.569824,1394.224976,941.384155,-1515.068115,446.467407,1305.992676,-1597.951538,456.303284,1310.147339,-1547.353516,524.087158,1310.292358,-2783.673096,1165.592163,616.172363,-2803.173584,792.964722,626.415466,-2509.212891,969.517700,549.162964,-2815.058838,757.551636,468.809174,-1574.473389,139.414078,493.481659,-1358.300415,-25.276892,481.433716,-1371.602539,-53.875641,627.838928,-1377.938721,-60.444149,670.330200,-2817.253906,757.252502,421.007324,-2156.911133,907.432129,942.510376,-2123.557373,938.418152,870.742554,-2721.609131,1158.984253,616.783325,-2794.434082,754.858337,590.668457,-2481.331543,942.905212,486.002686
2,0.005556,-2848.006836,704.704529,507.007843,-2792.697021,756.790588,636.143921,-2760.020752,759.196472,627.931519,-2746.498779,698.893860,510.244476,-2771.647217,1407.655762,939.897644,-2718.324951,1473.037354,941.161072,-2103.938721,972.853638,944.416199,-1578.855225,132.059235,535.197632,-1558.900513,96.565147,621.396484,-1566.159058,90.418884,664.476074,-2749.695312,700.220886,476.640991,-2887.241699,758.019043,504.095612,-2870.231445,733.127747,563.085754,-2547.620117,929.181396,599.807312,-2710.169678,1191.822754,516.628601,-2522.495361,896.028259,666.985840,-2688.603271,1394.252075,941.372437,-1515.099243,446.458984,1306.005249,-1597.935547,456.260132,1310.217773,-1547.347290,524.073669,1310.308594,-2783.677002,1165.598145,616.184509,-2803.164307,792.959351,626.410767,-2509.207275,969.516418,549.175293,-2815.054932,757.546326,468.853424,-1574.480957,139.396698,493.527435,-1358.292114,-25.291183,481.455139,-1371.619019,-53.919426,627.885925,-1377.937378,-60.423061,670.286621,-2817.266846,757.255493,421.031281,-2156.917480,907.429382,942.508972,-2123.547119,938.444885,870.742188,-2721.611084,1158.992920,616.804749,-2794.402588,754.839539,590.772705,-2481.328125,942.933167,486.005981
3,0.008333,-2847.985352,704.667297,507.039185,-2792.693115,756.789368,636.203735,-2760.027832,759.207947,627.930298,-2746.446045,698.925964,510.256226,-2771.659912,1407.646362,939.916199,-2718.332764,1473.040527,941.188416,-2103.907227,972.861938,944.464172,-1578.849243,132.096741,535.220947,-1558.812134,96.550446,621.338928,-1566.170654,90.406677,664.461182,-2749.721436,700.221985,476.607971,-2887.248779,758.018677,504.098785,-2870.238281,733.135437,563.092651,-2547.630615,929.205261,599.846313,-2710.176514,1191.829712,516.633972,-2522.488037,896.014648,666.998901,-2688.618652,1394.242920,941.359619,-1515.099854,446.477325,1306.001343,-1597.926147,456.252350,1310.273560,-1547.354126,524.059143,1310.341431,-2783.711182,1165.545776,616.205322,-2803.188721,792.956970,626.445374,-2509.208984,969.538147,549.198303,-2815.052490,757.539307,468.897552,-1574.516479,139.341858,493.588135,-1358.327515,-25.348146,481.487305,-1371.670776,-53.937569,627.941406,-1377.986084,-60.445168,670.300354,-2817.283447,757.273621,421.070251,-2156.926270,907.426453,942.547058,-2123.538574,938.476807,870.749573,-2721.635254,1158.999756,616.828918,-2794.394531,754.814636,590.828796,-2481.326660,942.968689,485.987823
4,0.011111,-2847.995361,704.643066,507.067871,-2792.694824,756.800415,636.268311,-2760.037598,759.211670,627.948120,-2746.454834,698.913452,510.259338,-2771.683838,1407.656616,939.918762,-2718.338867,1473.040527,941.214417,-2103.882324,972.823853,944.486572,-1578.856934,132.077835,535.217590,-1558.757568,96.541817,621.304932,-1566.166870,90.409393,664.463562,-2749.722656,700.192200,476.601013,-2887.248047,757.986816,504.116241,-2870.235107,733.113342,563.123291,-2547.605713,929.210327,599.842041,-2710.202881,1191.846436,516.610352,-2522.498291,896.003357,666.999573,-2688.632324,1394.249878,941.381165,-1515.085693,446.475342,1305.981567,-1597.914917,456.217926,1310.297607,-1547.344849,524.083557,1310.354736,-2783.701904,1165.543945,616.209290,-2803.201660,792.944885,626.446045,-2509.216553,969.551208,549.189636,-2815.063232,757.550293,468.948273,-1574.519165,139.349579,493.628998,-1358.392700,-25.384287,481.520874,-1371.639160,-53.946972,627.942993,-1378.008667,-60.442112,670.315491,-2817.288330,757.289429,421.113159,-2156.913086,907.427002,942.548584,-2123.530762,938.476257,870.731689,-2721.656250,1159.003784,616.843262,-2794.422852,754.822205,590.894043,-2481.350830,942.969604,485.966766
5,0.013889,-2848.000244,704.648743,507.090759,-2792.695557,756.804016,636.305359,-2760.048584,759.218750,627.930969,-2746.464600,698.911438,510.270844,-2771.692139,1407.638550,939.941162,-2718.352295,1473.047852,941.253052,-2103.875000,972.830872,944.497620,-1578.868286,132.088104,535.216125,-1558.759033,96.552917,621.284241,-1566.151733,90.399406,664.467773,-2749.725342,700.186401,476.582001,-2887.253662,757.983032,504.124237,-2870.245361,733.117493,563.127502,-2547.610352,929.213501,599.830383,-2710.205322,1191.851318,516.629395,-2522.508057,895.984985,667.015320,-2688.646240,1394.227295,941.409180,-1515.078979,446.504944,1305.963867,-1597.926758,456.218262,1310.321777,-1547.326782,524.081665,1310.355469,-2783.687988,1165.555542,616.188049,-2803.194336,792.940979,626.450317,-2509.250977,969.569336,549.172913,-2815.058350,757.536560,468.978302,-1574.514648,139.335693,493.624969,-1358.358887,-25.347700,481.537964,-1371.659668,-53.975254,627.974548,-1377.987793,-60.434685,670.281616,-2817.352295,757.403809,421.261810,-2156.906738,907.430786,942.554077,-2123.523438,938.514709,870.728760,-2721.678467,1159.009521,616.857544,-2794.444092,754.829102,590.918396,-2481.338867,942.935669,485.970581
