Format Version,1.24,Take Name,SW_001,Take Notes,,Capture Frame Rate,360.000000,Export Frame Rate,360.000000,Capture Start Time,2026-08-27 06.06.21.117 PM,Capture Start Frame,213383,Total Frames in Take,3820,Total Exported Frames,3820,Rotation Type,Quaternion,Length Units,Millimeters,Coordinate Space,Global

,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Unlabeled 1635,Unlabeled 1635,Unlabeled 1635,Unlabeled 1636,Unlabeled 1636,Unlabeled 1636,Unlabeled 1637,Unlabeled 1637,Unlabeled 1637,Unlabeled 1638,Unlabeled 1638,Unlabeled 1638,Unlabeled 1639,Unlabeled 1639,Unlabeled 1639,Unlabeled 1640,Unlabeled 1640,Unlabeled 1640,Unlabeled 1641,Unlabeled 1641,Unlabeled 1641,Unlabeled 1642,Unlabeled 1642,Unlabeled 1642,Unlabeled 1643,Unlabeled 1643,Unlabeled 1643,Unlabeled 1644,Unlabeled 1644,Unlabeled 1644,Unlabeled 1645,Unlabeled 1645,Unlabeled 1645,Unlabeled 1646,Unlabeled 1646,Unlabeled 1646,Unlabeled 1647,Unlabeled 1647,Unlabeled 1647,Unlabeled 1648,Unlabeled 1648,Unlabeled 1648,Unlabeled 1649,Unlabeled 1649,Unlabeled 1649,Unlabeled 1650,Unlabeled 1650,Unlabeled 1650,Unlabeled 1651,Unlabeled 1651,Unlabeled 1651,Unlabeled 1652,Unlabeled 1652,Unlabeled 1652,Unlabeled 1653,Unlabeled 1653,Unlabeled 1653,Unlabeled 1654,Unlabeled 1654,Unlabeled 1654,Unlabeled 1655,Unlabeled 1655,Unlabeled 1655,Unlabeled 1656,Unlabeled 1656,Unlabeled 1656,Unlabeled 1657,Unlabeled 1657,Unlabeled 1657,Unlabeled 1658,Unlabeled 1658,Unlabeled 1658,Unlabeled 1659,Unlabeled 1659,Unlabeled 1659,Unlabeled 1660,Unlabeled 1660,Unlabeled 1660,Unlabeled 1661,Unlabeled 1661,Unlabeled 1661,Unlabeled 1662,Unlabeled 1662,Unlabeled 1662,Unlabeled 1663,Unlabeled 1663,Unlabeled 1663,Unlabeled 1664,Unlabeled 1664,Unlabeled 1664,Unlabeled 1665,Unlabeled 1665,Unlabeled 1665,Unlabeled 1666,Unlabeled 1666,Unlabeled 1666,Unlabeled 1667,Unlabeled 1667,Unlabeled 1667,Unlabeled 1668,Unlabeled 1668,Unlabeled 1668,Unlabeled 1669,Unlabeled 1669,Unlabeled 1669
,ID,"1D5A0DB15A22F11F1","1D5A0DB15A22F11F1","1D5A0DB15A22F11F1","2D5A0DB15A22F11F1","2D5A0DB15A22F11F1","2D5A0DB15A22F11F1","3D5A0DB15A22F11F1","3D5A0DB15A22F11F1","3D5A0DB15A22F11F1","4D5A0DB15A22F11F1","4D5A0DB15A22F11F1","4D5A0DB15A22F11F1","5D5A0DB15A22F11F1","5D5A0DB15A22F11F1","5D5A0DB15A22F11F1","6D5A0DB15A22F11F1","6D5A0DB15A22F11F1","6D5A0DB15A22F11F1","9D5A0DB15A22F11F1","9D5A0DB15A22F11F1","9D5A0DB15A22F11F1","AD5A0DB15A22F11F1","AD5A0DB15A22F11F1","AD5A0DB15A22F11F1","BD5A0DB15A22F11F1","BD5A0DB15A22F11F1","BD5A0DB15A22F11F1","CD5A0DB15A22F11F1","CD5A0DB15A22F11F1","CD5A0DB15A22F11F1","DD5A0DB15A22F11F1","DD5A0DB15A22F11F1","DD5A0DB15A22F11F1","ED5A0DB15A22F11F1","ED5A0DB15A22F11F1","ED5A0DB15A22F11F1","10D5A0DB15A22F11F1","10D5A0DB15A22F11F1","10D5A0DB15A22F11F1","11D5A0DB15A22F11F1","11D5A0DB15A22F11F1","11D5A0DB15A22F11F1","12D5A0DB15A22F11F1","12D5A0DB15A22F11F1","12D5A0DB15A22F11F1","13D5A0DB15A22F11F1","13D5A0DB15A22F11F1","13D5A0DB15A22F11F1","14D5A0DB15A22F11F1","14D5A0DB15A22F11F1","14D5A0DB15A22F11F1","15D5A0DB15A22F11F1","15D5A0DB15A22F11F1","15D5A0DB15A22F11F1","16D5A0DB15A22F11F1","16D5A0DB15A22F11F1","16D5A0DB15A22F11F1","17D5A0DB15A22F11F1","17D5A0DB15A22F11F1","17D5A0DB15A22F11F1","1AD5A0DB15A22F11F1","1AD5A0DB15A22F11F1","1AD5A0DB15A22F11F1","1BD5A0DB15A22F11F1","1BD5A0DB15A22F11F1","1BD5A0DB15A22F11F1","1CD5A0DB15A22F11F1","1CD5A0DB15A22F11F1","1CD5A0DB15A22F11F1","1DD5A0DB15A22F11F1","1DD5A0DB15A22F11F1","1DD5A0DB15A22F11F1","21D5A0DB15A22F11F1","21D5A0DB15A22F11F1","21D5A0DB15A22F11F1","4FD5A0DB15A22F11F1","4FD5A0DB15A22F11F1","4FD5A0DB15A22F11F1","59D5A0DB15A22F11F1","59D5A0DB15A22F11F1","59D5A0DB15A22F11F1","64D5A0DB15A22F11F1","64D5A0DB15A22F11F1","64D5A0DB15A22F11F1","66D5A0DB15A22F11F1","66D5A0DB15A22F11F1","66D5A0DB15A22F11F1","6CD5A0DB15A22F11F1","6CD5A0DB15A22F11F1","6CD5A0DB15A22F11F1","6DD5A0DB15A22F11F1","6DD5A0DB15A22F11F1","6DD5A0DB15A22F11F1","6ED5A0DB15A22F11F1","6ED5A0DB15A22F11F1","6ED5A0DB15A22F11F1","6FD5A0DB15A22F11F1","6FD5A0DB15A22F11F1","6FD5A0DB15A22F11F1","71D5A0DB15A22F11F1","71D5A0DB15A22F11F1","71D5A0DB15A22F11F1","72D5A0DB15A22F11F1","72D5A0DB15A22F11F1","72D5A0DB15A22F11F1"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,-2855.597900,710.896118,508.001556,-2792.575684,756.578247,635.598389,-2759.917969,759.119629,627.575989,-2756.179443,690.088806,510.667694,-2771.584717,1407.633789,939.933105,-2718.243164,1473.046753,941.185364,-1578.828857,132.035263,535.239868,-1559.087158,96.556183,621.540039,-1566.123657,90.378891,664.514465,-2759.462646,690.449341,477.459839,-2885.871338,769.914001,503.615906,-2872.637695,743.616882,563.127686,-2547.670898,929.065247,599.452576,-2710.042725,1191.702148,516.591919,-2522.451660,895.994690,667.014038,-2688.562256,1394.159546,941.416809,-1515.081909,446.474243,1305.993042,-1597.918091,456.216583,1310.203003,-1547.275757,524.040344,1310.350464,-2783.645508,1165.544312,616.212891,-2803.039307,792.895813,626.000977,-2509.294189,969.539001,549.171143,-2814.275635,757.435181,468.406647,-1574.700439,139.401932,493.729828,-2817.421143,758.121338,420.111542,-1371.643066,-53.981487,627.993347,-1358.275513,-25.328316,481.486786,-2481.276855,942.691406,486.381073,-2097.027832,976.280579,910.566345,-2141.115967,929.968201,965.331848,-2144.616211,911.775208,883.354553,-2721.613525,1158.948486,616.753052,-1377.980347,-60.489033,670.403503,-2797.903320,756.454956,588.092834,,,
1,0.002778,-2855.606445,710.878113,508.004547,-2792.593750,756.569763,635.616821,-2759.910645,759.117737,627.573364,-2756.298340,690.028809,510.652588,-2771.589111,1407.615234,939.943970,-2718.259277,1473.042847,941.205322,-1578.834106,132.065384,535.242737,-1558.902588,96.530334,621.415466,-1566.139160,90.364059,664.503845,-2759.455811,690.453308,477.434784,-2885.884033,769.903992,503.622009,-2872.628174,743.600952,563.122192,-2547.683594,929.054504,599.437988,-2710.068848,1191.731079,516.551086,-2522.459961,895.985901,667.021729,-2688.532471,1394.123169,941.421631,-1515.065063,446.472778,1305.963623,-1597.900635,456.191284,1310.243652,-1547.262207,524.004028,1310.359985,-2783.647217,1165.537231,616.202393,-2803.061035,792.836975,626.019775,-2509.318604,969.540649,549.177856,-2814.287354,757.452942,468.421600,-1574.474731,139.332489,493.620941,-2817.678955,758.514160,420.554047,-1371.633545,-53.966484,627.987976,-1358.337891,-25.382185,481.572327,-2481.277832,942.701965,486.363556,-2096.998779,976.312073,910.610107,-2141.142578,929.975586,965.324280,-2144.606201,911.760559,883.412231,-2721.603516,1158.963013,616.765198,-1378.055908,-60.509495,670.421387,-2797.893799,756.488953,588.104126,,,
2,0.005556,-2855.579102,710.861572,508.024231,-2792.598145,756.550903,635.634094,-2759.918945,759.129822,627.572144,-2756.221680,690.088501,510.633484,-2771.601807,1407.602173,939.938416,-2718.254395,1473.038818,941.212402,-1578.843506,132.065903,535.397888,-1558.728882,96.506409,621.314087,-1566.160400,90.373116,664.502502,-2759.455322,690.449280,477.417633,-2885.900146,769.905762,503.604950,-2872.624023,743.580811,563.112488,-2547.707031,929.058777,599.434387,-2710.052490,1191.736572,516.560852,-2522.476318,895.960876,667.020020,-2688.601807,1394.171143,941.403076,-1515.058716,446.500244,1305.943970,-1597.896973,456.176331,1310.296631,-1547.255371,523.970642,1310.356934,-2783.668701,1165.512817,616.216248,-2803.082031,792.815308,626.036682,-2509.321289,969.510132,549.218262,-2814.312988,757.455139,468.468689,-1574.746582,139.334686,493.646942,-2817.451172,758.107849,420.185272,-1371.652344,-53.978359,628.003540,-1358.316040,-25.348902,481.548950,-2481.267578,942.741760,486.308807,-2096.999268,976.278748,910.587891,-2141.141846,929.963684,965.330566,-2144.581787,911.730225,883.470581,-2721.597168,1158.953979,616.806519,-1378.065430,-60.523533,670.409851,-2797.925537,756.488342,588.114746,,,
3,0.008333,-2855.595459,710.862976,508.024048,-2792.604004,756.552856,635.623657,-2759.923828,759.147461,627.554504,-2756.213135,690.112488,510.632690,-2771.627197,1407.596313,939.931458,-2718.278320,1473.032715,941.225952,-1578.843872,132.036789,535.270203,-1558.643555,96.459206,621.269287,-1566.136963,90.356461,664.470886,-2759.436768,690.464722,477.395660,-2885.911621,769.909790,503.609070,-2872.613525,743.566406,563.122375,-2547.722168,929.051453,599.427612,-2710.101562,1191.757690,516.525024,-2522.478027,895.953247,667.027588,-2688.619629,1394.177979,941.401062,-1515.050293,446.491882,1305.909790,-1597.888916,456.165649,1310.317139,-1547.252197,523.982849,1310.350952,-2783.673340,1165.509155,616.197144,-2803.075195,792.815857,626.024109,-2509.366943,969.530579,549.213257,-2814.329834,757.463257,468.493866,-1574.749390,139.357529,493.756744,-2817.389160,758.074951,420.171448,-1371.661865,-53.993759,628.023987,-1358.318604,-25.333345,481.551270,-2481.279541,942.744568,486.300751,-2097.001221,976.295837,910.597900,-2141.161133,929.968689,965.335938,-2144.610840,911.750427,883.492676,-2721.627930,1158.967896,616.811768,-1378.123901,-60.572647,670.411682,-2797.913086,756.476746,588.181824,,,
4,0.011111,-2855.612793,710.863037,508.005249,-2792.608887,756.548218,635.625427,-2759.948242,759.151917,627.569824,-2756.241211,690.109070,510.650452,-2771.642090,1407.590942,939.932617,-2718.292725,1473.024780,941.250183,-1578.874023,132.053223,535.380554,-1558.609009,96.437691,621.253479,-1566.139038,90.343002,664.481995,-2759.456543,690.442017,477.385895,-2885.926514,769.894104,503.610138,-2872.629395,743.574585,563.109985,-2547.703125,929.045227,599.412903,-2710.099854,1191.755493,516.519348,-2522.465576,895.949036,666.998352,-2688.606201,1394.126709,941.410095,-1515.037109,446.513550,1305.903198,-1597.913696,456.176117,1310.300171,-1547.251343,523.984802,1310.349365,-2783.655518,1165.497192,616.201111,-2803.064209,792.796936,626.032959,-2509.377686,969.520874,549.245300,-2814.337158,757.463074,468.523621,-1574.702271,139.355118,493.762756,-2817.343750,758.026611,420.168640,-1371.635742,-53.982929,627.986816,-1358.337524,-25.346567,481.543854,-2481.274658,942.759766,486.290253,-2096.993408,976.306213,910.588440,-2141.176514,929.962341,965.327942,-2144.636475,911.768433,883.491211,-2721.650879,1158.974243,616.819885,-1378.153564,-60.568649,670.426392,-2797.920410,756.480347,588.168640,,,
5,0.013889,-2855.605957,710.849243,508.010803,-2792.626709,756.548218,635.633057,-2759.936768,759.148743,627.566101,-2756.262451,690.103088,510.635498,-2771.637939,1407.593018,939.926270,-2718.308105,1473.033813,941.240234,-1578.846313,132.022018,535.256409,-1558.621216,96.437660,621.268494,-1566.123291,90.338219,664.456177,-2759.440918,690.429260,477.356934,-2885.944336,769.892212,503.608398,-2872.640381,743.571289,563.104492,-2547.725830,929.020813,599.418640,-2710.107666,1191.761230,516.518555,-2522.474609,895.963501,666.981995,-2688.647949,1394.147095,941.424072,-1515.029297,446.512543,1305.904053,-1597.926025,456.214508,1310.272949,-1547.248657,523.973755,1310.324585,-2783.645508,1165.502563,616.294617,-2803.080566,792.799133,626.015381,-2509.427490,969.520203,549.227234,-2814.359375,757.463745,468.558441,-1574.734375,139.345093,493.746704,-2817.298828,757.957336,420.183594,-1371.657715,-54.011246,627.945496,-1358.329346,-25.378056,481.490753,-2481.243896,942.743652,486.283478,-2096.971924,976.303528,910.575745,-2141.184814,929.947266,965.313660,-2144.641602,911.763245,883.485107,-2721.656738,1158.963257,616.832336,-1378.131470,-60.588127,670.405762,-2797.910156,756.480408,588.194214,,,
