Format Version,1.24,Take Name,F-30_001,Take Notes,,Capture Frame Rate,360.000000,Export Frame Rate,360.000000,Capture Start Time,2026-08-27 06.03.58.389 PM,Capture Start Frame,162001,Total Frames in Take,2495,Total Exported Frames,2495,Rotation Type,Quaternion,Length Units,Millimeters,Coordinate Space,Global

,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Unlabeled 1501,Unlabeled 1501,Unlabeled 1501,Unlabeled 1502,Unlabeled 1502,Unlabeled 1502,Unlabeled 1503,Unlabeled 1503,Unlabeled 1503,Unlabeled 1504,Unlabeled 1504,Unlabeled 1504,Unlabeled 1505,Unlabeled 1505,Unlabeled 1505,Unlabeled 1506,Unlabeled 1506,Unlabeled 1506,Unlabeled 1507,Unlabeled 1507,Unlabeled 1507,Unlabeled 1508,Unlabeled 1508,Unlabeled 1508,Unlabeled 1509,Unlabeled 1509,Unlabeled 1509,Unlabeled 1510,Unlabeled 1510,Unlabeled 1510,Unlabeled 1511,Unlabeled 1511,Unlabeled 1511,Unlabeled 1512,Unlabeled 1512,Unlabeled 1512,Unlabeled 1513,Unlabeled 1513,Unlabeled 1513,Unlabeled 1514,Unlabeled 1514,Unlabeled 1514,Unlabeled 1515,Unlabeled 1515,Unlabeled 1515,Unlabeled 1516,Unlabeled 1516,Unlabeled 1516,Unlabeled 1517,Unlabeled 1517,Unlabeled 1517,Unlabeled 1518,Unlabeled 1518,Unlabeled 1518,Unlabeled 1519,Unlabeled 1519,Unlabeled 1519,Unlabeled 1520,Unlabeled 1520,Unlabeled 1520,Unlabeled 1521,Unlabeled 1521,Unlabeled 1521,Unlabeled 1522,Unlabeled 1522,Unlabeled 1522,Unlabeled 1523,Unlabeled 1523,Unlabeled 1523,Unlabeled 1524,Unlabeled 1524,Unlabeled 1524,Unlabeled 1525,Unlabeled 1525,Unlabeled 1525,Unlabeled 1526,Unlabeled 1526,Unlabeled 1526,Unlabeled 1527,Unlabeled 1527,Unlabeled 1527,Unlabeled 1528,Unlabeled 1528,Unlabeled 1528,Unlabeled 1529,Unlabeled 1529,Unlabeled 1529,Unlabeled 1530,Unlabeled 1530,Unlabeled 1530,Unlabeled 1531,Unlabeled 1531,Unlabeled 1531,Unlabeled 1532,Unlabeled 1532,Unlabeled 1532,Unlabeled 1533,Unlabeled 1533,Unlabeled 1533,Unlabeled 1534,Unlabeled 1534,Unlabeled 1534,Unlabeled 1535,Unlabeled 1535,Unlabeled 1535
,ID,"1D5A0DB15A22F11F1","1D5A0DB15A22F11F1","1D5A0DB15A22F11F1","2D5A0DB15A22F11F1","2D5A0DB15A22F11F1","2D5A0DB15A22F11F1","3D5A0DB15A22F11F1","3D5A0DB15A22F11F1","3D5A0DB15A22F11F1","4D5A0DB15A22F11F1","4D5A0DB15A22F11F1","4D5A0DB15A22F11F1","5D5A0DB15A22F11F1","5D5A0DB15A22F11F1","5D5A0DB15A22F11F1","6D5A0DB15A22F11F1","6D5A0DB15A22F11F1","6D5A0DB15A22F11F1","7D5A0DB15A22F11F1","7D5A0DB15A22F11F1","7D5A0DB15A22F11F1","9D5A0DB15A22F11F1","9D5A0DB15A22F11F1","9D5A0DB15A22F11F1","AD5A0DB15A22F11F1","AD5A0DB15A22F11F1","AD5A0DB15A22F11F1","BD5A0DB15A22F11F1","BD5A0DB15A22F11F1","BD5A0DB15A22F11F1","CD5A0DB15A22F11F1","CD5A0DB15A22F11F1","CD5A0DB15A22F11F1","DD5A0DB15A22F11F1","DD5A0DB15A22F11F1","DD5A0DB15A22F11F1","ED5A0DB15A22F11F1","ED5A0DB15A22F11F1","ED5A0DB15A22F11F1","10D5A0DB15A22F11F1","10D5A0DB15A22F11F1","10D5A0DB15A22F11F1","11D5A0DB15A22F11F1","11D5A0DB15A22F11F1","11D5A0DB15A22F11F1","12D5A0DB15A22F11F1","12D5A0DB15A22F11F1","12D5A0DB15A22F11F1","13D5A0DB15A22F11F1","13D5A0DB15A22F11F1","13D5A0DB15A22F11F1","14D5A0DB15A22F11F1","14D5A0DB15A22F11F1","14D5A0DB15A22F11F1","15D5A0DB15A22F11F1","15D5A0DB15A22F11F1","15D5A0DB15A22F11F1","16D5A0DB15A22F11F1","16D5A0DB15A22F11F1","16D5A0DB15A22F11F1","17D5A0DB15A22F11F1","17D5A0DB15A22F11F1","17D5A0DB15A22F11F1","1AD5A0DB15A22F11F1","1AD5A0DB15A22F11F1","1AD5A0DB15A22F11F1","1BD5A0DB15A22F11F1","1BD5A0DB15A22F11F1","1BD5A0DB15A22F11F1","1CD5A0DB15A22F11F1","1CD5A0DB15A22F11F1","1CD5A0DB15A22F11F1","1DD5A0DB15A22F11F1","1DD5A0DB15A22F11F1","1DD5A0DB15A22F11F1","21D5A0DB15A22F11F1","21D5A0DB15A22F11F1","21D5A0DB15A22F11F1","43D5A0DB15A22F11F1","43D5A0DB15A22F11F1","43D5A0DB15A22F11F1","47D5A0DB15A22F11F1","47D5A0DB15A22F11F1","47D5A0DB15A22F11F1","4FD5A0DB15A22F11F1","4FD5A0DB15A22F11F1","4FD5A0DB15A22F11F1","52D5A0DB15A22F11F1","52D5A0DB15A22F11F1","52D5A0DB15A22F11F1","54D5A0DB15A22F11F1","54D5A0DB15A22F11F1","54D5A0DB15A22F11F1","55D5A0DB15A22F11F1","55D5A0DB15A22F11F1","55D5A0DB15A22F11F1","56D5A0DB15A22F11F1","56D5A0DB15A22F11F1","56D5A0DB15A22F11F1","57D5A0DB15A22F11F1","57D5A0DB15A22F11F1","57D5A0DB15A22F11F1","58D5A0DB15A22F11F1","58D5A0DB15A22F11F1","58D5A0DB15A22F11F1"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,-2830.992432,695.520752,505.681641,-2792.768799,757.354248,637.162109,-2760.118652,759.183105,628.442078,-2732.389648,721.196533,509.396088,-2771.734619,1407.689819,939.826477,-2718.387939,1473.060059,941.111267,-2141.266357,929.546143,963.091675,-1578.805298,132.144974,535.263977,-1558.886230,96.554466,621.402466,-1566.093872,90.458450,664.417542,-2735.039795,722.145264,475.902893,-2883.949219,734.226624,504.715576,-2860.063232,714.117920,562.480347,-2547.581543,929.236877,599.687866,-2710.206299,1191.740845,516.641663,-2522.468018,896.074646,666.923828,-2688.658447,1394.185913,941.464233,-1515.061157,446.500244,1306.000244,-1598.063232,456.363770,1310.084351,-1547.306030,524.118164,1310.232910,-2783.615723,1165.673096,616.249817,-2803.189697,793.078857,626.945496,-2509.284180,969.539001,549.148682,-2815.306152,757.329834,469.151703,-1574.394897,139.483948,493.340485,-2818.524902,758.459717,424.096863,-1377.903442,-60.449451,670.419373,-1358.222900,-25.268595,481.313629,-1371.498901,-53.808697,627.700745,-2096.876953,976.453552,909.503479,-2721.793945,1159.009888,616.813904,-2481.250977,942.947144,486.047943,-2144.729736,912.069641,881.771301,,,,,,
1,0.002778,-2830.995117,695.538147,505.694855,-2792.777832,757.359497,637.150574,-2760.117920,759.179504,628.472839,-2732.390869,721.207397,509.397400,-2771.727051,1407.704102,939.829651,-2718.387939,1473.061279,941.105225,-2141.346191,929.704956,963.090942,-1578.790649,132.149063,535.282043,-1558.976929,96.613785,621.479492,-1566.087280,90.440216,664.418762,-2735.031250,722.159668,475.959503,-2883.932617,734.242004,504.739166,-2860.071289,714.125916,562.473694,-2547.580078,929.231323,599.684448,-2710.187988,1191.723267,516.663879,-2522.456055,896.072571,666.921082,-2688.634766,1394.182983,941.486023,-1515.071411,446.498596,1306.035522,-1598.048340,456.350281,1310.080322,-1547.298462,524.117737,1310.241943,-2783.612549,1165.665405,616.263367,-2803.211182,793.084778,626.936157,-2509.277100,969.546265,549.156677,-2815.300049,757.317566,469.142792,-1574.570068,139.516815,493.465210,-2818.538086,758.467773,424.098114,-1377.852417,-60.405361,670.403503,-1358.213623,-25.267698,481.318512,-1371.470825,-53.811668,627.697937,-2096.886475,976.435791,909.508789,-2721.797852,1158.996704,616.776001,-2481.281982,942.892029,486.100220,-2144.747314,912.083740,881.729431,,,,,,
2,0.005556,-2830.993164,695.535767,505.677155,-2792.773926,757.352112,637.127625,-2760.106934,759.168152,628.484192,-2732.380371,721.221191,509.394653,-2771.730713,1407.710083,939.830627,-2718.373535,1473.077515,941.085815,-2141.328857,929.699036,963.080566,-1578.913574,132.317078,535.343140,-1559.125244,96.596336,621.594788,-1566.069824,90.469246,664.399536,-2735.025391,722.162354,476.010681,-2883.919678,734.264893,504.742279,-2860.062988,714.120422,562.457520,-2547.576172,929.232056,599.699707,-2710.166992,1191.707886,516.679016,-2522.434570,896.079102,666.921509,-2688.612793,1394.187866,941.491394,-1515.068481,446.481293,1306.069580,-1598.030029,456.353882,1310.068726,-1547.284058,524.144348,1310.257446,-2783.665039,1165.676880,616.137756,-2803.172119,793.086731,626.912415,-2509.281738,969.541687,549.159851,-2815.294189,757.325806,469.101593,-1574.509521,139.512238,493.473236,-2818.537109,758.466675,424.088226,-1377.778687,-60.391937,670.434204,-1357.913818,-25.003363,481.013702,-1371.423096,-53.843555,627.728699,-2096.888672,976.427734,909.518982,-2721.804932,1158.997437,616.768799,-2481.285156,942.890808,486.090363,-2144.773193,912.112549,881.683716,,,,,,
3,0.008333,-2830.975830,695.525635,505.677704,-2792.762207,757.343628,637.102417,-2760.101318,759.153320,628.488159,-2732.385254,721.210938,509.393158,-2771.733643,1407.709229,939.819153,-2718.355713,1473.060547,941.061035,-2141.209961,929.601685,963.140991,-1578.797729,132.105896,535.124634,-1559.232910,96.585045,621.715820,-1566.091919,90.457443,664.436218,-2735.027344,722.179688,476.094482,-2883.926270,734.255005,504.740540,-2860.106689,714.131592,562.463623,-2547.545654,929.232300,599.698975,-2710.127441,1191.698975,516.699280,-2522.461670,896.083435,666.944946,-2688.591797,1394.178101,941.481384,-1515.066650,446.457092,1306.087280,-1598.019043,456.357300,1310.062012,-1547.268066,524.178345,1310.274658,-2783.646973,1165.675537,616.234924,-2803.179443,793.109497,626.930603,-2509.253906,969.521851,549.179871,-2815.273682,757.323853,469.059021,-1574.508057,139.515503,493.410736,-2818.523193,758.466309,424.062469,-1377.743286,-60.389599,670.400696,-1357.505371,-24.651346,480.844696,-1371.411743,-53.832966,627.780762,-2096.895020,976.417542,909.515320,-2721.811768,1159.000244,616.754333,-2481.295898,942.846985,486.149109,-2144.776123,912.089355,881.674988,,,,,,
4,0.011111,-2830.983398,695.543640,505.688263,-2792.769775,757.342285,637.069763,-2760.092529,759.152100,628.517761,-2732.373291,721.218689,509.398285,-2771.723877,1407.705078,939.806335,-2718.346436,1473.045898,941.025818,-2141.181152,929.592163,963.156799,-1578.805176,132.083664,535.083557,-1559.311890,96.555237,621.812439,-1566.110229,90.452377,664.430847,-2735.012451,722.236389,476.124603,-2883.930420,734.250366,504.748993,-2860.095947,714.144836,562.450439,-2547.544678,929.229431,599.710388,-2710.114990,1191.687500,516.713257,-2522.446289,896.087402,666.951416,-2688.577148,1394.168701,941.474670,-1515.061401,446.456146,1306.124634,-1597.999756,456.332977,1310.064209,-1547.254883,524.181641,1310.286621,-2783.642822,1165.703979,616.243103,-2803.182373,793.123291,626.942261,-2509.251953,969.523560,549.166992,-2815.258789,757.310181,469.027740,-1574.468506,139.526779,493.493774,-2818.532715,758.449707,424.041290,-1377.878784,-60.212616,670.526794,-1357.453125,-24.609947,480.877075,-1371.406616,-53.846970,627.816650,-2096.898438,976.397949,909.516541,-2721.798340,1158.998535,616.754883,-2481.319824,942.836609,486.155731,-2144.774658,912.102112,881.643188,,,,,,
5,0.013889,-2830.929443,695.555908,505.635986,-2792.770508,757.336609,637.060730,-2760.091064,759.153748,628.528320,-2732.375000,721.229065,509.395905,-2771.720215,1407.717285,939.829285,-2718.345215,1473.046265,941.008911,-2141.284180,929.697205,963.102295,-1578.823486,132.088638,535.080994,-1559.340088,96.582642,621.859253,-1566.105225,90.454048,664.435608,-2734.993896,722.231689,476.118225,-2883.951904,734.243652,504.764069,-2860.112305,714.132751,562.452759,-2547.535645,929.223633,599.695374,-2710.086914,1191.672363,516.746460,-2522.451660,896.069885,666.945190,-2688.573730,1394.194336,941.491577,-1515.057373,446.442963,1306.154541,-1597.998535,456.326416,1310.083130,-1547.268799,524.189941,1310.299927,-2783.635742,1165.684326,616.251038,-2803.168701,793.111511,626.931946,-2509.253906,969.516846,549.171509,-2815.233643,757.301208,469.002350,-1574.447632,139.508163,493.517303,-2818.516602,758.442383,424.004181,-1377.630981,-60.327366,670.408264,-1357.844849,-24.957024,481.272827,-1371.382812,-53.863869,627.835938,-2096.900879,976.400208,909.538574,-2721.802979,1158.996216,616.732483,-2481.338379,942.773315,486.153381,-2144.798340,912.118835,881.608459,,,,,,
