Format Version,1.24,Take Name,FStatic_001,Take Notes,,Capture Frame Rate,360.000000,Export Frame Rate,360.000000,Capture Start Time,2026-08-27 05.58.32.670 PM,Capture Start Frame,44743,Total Frames in Take,2004,Total Exported Frames,2004,Rotation Type,Quaternion,Length Units,Millimeters,Coordinate Space,Global

,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Unlabeled 1033,Unlabeled 1033,Unlabeled 1033,Unlabeled 1034,Unlabeled 1034,Unlabeled 1034,Unlabeled 1035,Unlabeled 1035,Unlabeled 1035,Unlabeled 1036,Unlabeled 1036,Unlabeled 1036,Unlabeled 1037,Unlabeled 1037,Unlabeled 1037,Unlabeled 1038,Unlabeled 1038,Unlabeled 1038,Unlabeled 1039,Unlabeled 1039,Unlabeled 1039,Unlabeled 1040,Unlabeled 1040,Unlabeled 1040,Unlabeled 1041,Unlabeled 1041,Unlabeled 1041,Unlabeled 1042,Unlabeled 1042,Unlabeled 1042,Unlabeled 1043,Unlabeled 1043,Unlabeled 1043,Unlabeled 1044,Unlabeled 1044,Unlabeled 1044,Unlabeled 1045,Unlabeled 1045,Unlabeled 1045,Unlabeled 1046,Unlabeled 1046,Unlabeled 1046,Unlabeled 1047,Unlabeled 1047,Unlabeled 1047,Unlabeled 1048,Unlabeled 1048,Unlabeled 1048,Unlabeled 1049,Unlabeled 1049,Unlabeled 1049,Unlabeled 1050,Unlabeled 1050,Unlabeled 1050,Unlabeled 1051,Unlabeled 1051,Unlabeled 1051,Unlabeled 1052,Unlabeled 1052,Unlabeled 1052,Unlabeled 1053,Unlabeled 1053,Unlabeled 1053,Unlabeled 1054,Unlabeled 1054,Unlabeled 1054,Unlabeled 1055,Unlabeled 1055,Unlabeled 1055,Unlabeled 1056,Unlabeled 1056,Unlabeled 1056,Unlabeled 1057,Unlabeled 1057,Unlabeled 1057,Unlabeled 1058,Unlabeled 1058,Unlabeled 1058,Unlabeled 1059,Unlabeled 1059,Unlabeled 1059,Unlabeled 1060,Unlabeled 1060,Unlabeled 1060,Unlabeled 1061,Unlabeled 1061,Unlabeled 1061,Unlabeled 1062,Unlabeled 1062,Unlabeled 1062,Unlabeled 1063,Unlabeled 1063,Unlabeled 1063,Unlabeled 1064,Unlabeled 1064,Unlabeled 1064,Unlabeled 1065,Unlabeled 1065,Unlabeled 1065
,ID,"1D5A0DB15A22F11F1","1D5A0DB15A22F11F1","1D5A0DB15A22F11F1","2D5A0DB15A22F11F1","2D5A0DB15A22F11F1","2D5A0DB15A22F11F1","3D5A0DB15A22F11F1","3D5A0DB15A22F11F1","3D5A0DB15A22F11F1","4D5A0DB15A22F11F1","4D5A0DB15A22F11F1","4D5A0DB15A22F11F1","5D5A0DB15A22F11F1","5D5A0DB15A22F11F1","5D5A0DB15A22F11F1","6D5A0DB15A22F11F1","6D5A0DB15A22F11F1","6D5A0DB15A22F11F1","7D5A0DB15A22F11F1","7D5A0DB15A22F11F1","7D5A0DB15A22F11F1","8D5A0DB15A22F11F1","8D5A0DB15A22F11F1","8D5A0DB15A22F11F1","9D5A0DB15A22F11F1","9D5A0DB15A22F11F1","9D5A0DB15A22F11F1","AD5A0DB15A22F11F1","AD5A0DB15A22F11F1","AD5A0DB15A22F11F1","BD5A0DB15A22F11F1","BD5A0DB15A22F11F1","BD5A0DB15A22F11F1","CD5A0DB15A22F11F1","CD5A0DB15A22F11F1","CD5A0DB15A22F11F1","DD5A0DB15A22F11F1","DD5A0DB15A22F11F1","DD5A0DB15A22F11F1","ED5A0DB15A22F11F1","ED5A0DB15A22F11F1","ED5A0DB15A22F11F1","10D5A0DB15A22F11F1","10D5A0DB15A22F11F1","10D5A0DB15A22F11F1","11D5A0DB15A22F11F1","11D5A0DB15A22F11F1","11D5A0DB15A22F11F1","12D5A0DB15A22F11F1","12D5A0DB15A22F11F1","12D5A0DB15A22F11F1","13D5A0DB15A22F11F1","13D5A0DB15A22F11F1","13D5A0DB15A22F11F1","14D5A0DB15A22F11F1","14D5A0DB15A22F11F1","14D5A0DB15A22F11F1","15D5A0DB15A22F11F1","15D5A0DB15A22F11F1","15D5A0DB15A22F11F1","16D5A0DB15A22F11F1","16D5A0DB15A22F11F1","16D5A0DB15A22F11F1","17D5A0DB15A22F11F1","17D5A0DB15A22F11F1","17D5A0DB15A22F11F1","1AD5A0DB15A22F11F1","1AD5A0DB15A22F11F1","1AD5A0DB15A22F11F1","1BD5A0DB15A22F11F1","1BD5A0DB15A22F11F1","1BD5A0DB15A22F11F1","1CD5A0DB15A22F11F1","1CD5A0DB15A22F11F1","1CD5A0DB15A22F11F1","1DD5A0DB15A22F11F1","1DD5A0DB15A22F11F1","1DD5A0DB15A22F11F1","1ED5A0DB15A22F11F1","1ED5A0DB15A22F11F1","1ED5A0DB15A22F11F1","1FD5A0DB15A22F11F1","1FD5A0DB15A22F11F1","1FD5A0DB15A22F11F1","20D5A0DB15A22F11F1","20D5A0DB15A22F11F1","20D5A0DB15A22F11F1","21D5A0DB15A22F11F1","21D5A0DB15A22F11F1","21D5A0DB15A22F11F1","25D5A0DB15A22F11F1","25D5A0DB15A22F11F1","25D5A0DB15A22F11F1","26D5A0DB15A22F11F1","26D5A0DB15A22F11F1","26D5A0DB15A22F11F1","28D5A0DB15A22F11F1","28D5A0DB15A22F11F1","28D5A0DB15A22F11F1"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,-2834.429199,697.083191,504.011261,-2792.546631,756.988525,635.215942,-2759.970459,759.118286,626.838562,-2734.459961,716.398560,508.190399,-2771.722168,1407.674316,939.942078,-2718.379395,1473.049805,941.268921,-2134.130127,939.052307,965.839111,-2098.471436,972.637451,897.552429,-1578.848022,132.105728,535.181763,-1558.844116,96.657761,621.257202,-1566.186768,90.385536,664.449158,-2737.535156,717.341919,474.350922,-2885.377686,739.331970,502.821259,-2862.677002,717.829834,560.928955,-2547.794922,928.971619,599.589539,-2710.198486,1191.815674,516.584900,-2522.502930,895.999329,666.958008,-2688.683350,1394.244019,941.418335,-1515.045044,446.507416,1305.928101,-1597.961670,456.243347,1310.313599,-1547.291870,524.075073,1310.324829,-2783.707520,1165.580444,616.196655,-2803.067383,792.833191,625.056580,-2509.287598,969.571045,549.193909,-2814.453125,757.023499,467.313599,-1574.526855,139.371567,493.559753,-1358.362915,-25.393068,481.473755,-1371.618164,-53.937168,627.917358,-1377.990479,-60.436375,670.246033,-2818.312744,758.771423,422.366577,-2151.230713,906.292175,891.128174,-2721.750977,1159.004517,616.901611,-2481.283203,942.925781,485.968872
1,0.002778,-2834.424072,697.066589,504.012421,-2792.569580,756.990662,635.214539,-2759.975098,759.115417,626.840637,-2734.460693,716.407593,508.184906,-2771.723389,1407.659546,939.920227,-2718.378662,1473.045044,941.253357,-2134.141113,939.041138,965.837708,-2098.475098,972.631409,897.542297,-1578.822754,132.105423,535.184021,-1558.878662,96.623474,621.267700,-1566.168457,90.388451,664.436584,-2737.521240,717.315247,474.353271,-2885.365723,739.318909,502.819885,-2862.690674,717.830811,560.914917,-2547.770508,928.983459,599.581848,-2710.177734,1191.815430,516.575928,-2522.507080,895.994019,666.959290,-2688.694824,1394.232422,941.417725,-1515.059326,446.511658,1305.936157,-1597.979980,456.270172,1310.266235,-1547.293579,524.092651,1310.303955,-2783.716064,1165.593384,616.183167,-2803.075439,792.864258,625.069458,-2509.312500,969.570129,549.169495,-2814.448486,757.029114,467.284698,-1574.489502,139.374481,493.556427,-1358.351318,-25.383442,481.472931,-1371.624634,-53.915440,627.900146,-1377.955444,-60.439548,670.258850,-2818.309570,758.733948,422.306793,-2151.249023,906.304688,891.089783,-2721.771240,1159.003174,616.882629,-2481.314209,942.942993,485.951660
2,0.005556,-2834.421875,697.076721,504.016052,-2792.583252,757.000488,635.199646,-2759.971191,759.111267,626.838806,-2734.458740,716.412231,508.175842,-2771.710693,1407.662842,939.909485,-2718.375244,1473.042725,941.224243,-2134.131592,939.051270,965.828430,-2098.480957,972.622131,897.523499,-1578.863525,132.078690,535.180176,-1558.896362,96.620247,621.299622,-1566.150635,90.384499,664.444946,-2737.507324,717.326172,474.366699,-2885.368408,739.330383,502.802551,-2862.695801,717.840027,560.937195,-2547.757568,928.987915,599.574829,-2710.172607,1191.806152,516.583008,-2522.503906,896.001892,666.957458,-2688.674805,1394.218384,941.429443,-1515.067261,446.500671,1305.943481,-1597.992798,456.300720,1310.216309,-1547.296753,524.066101,1310.275391,-2783.712158,1165.602417,616.175903,-2803.036133,792.856384,625.059387,-2509.302979,969.561646,549.176636,-2814.469727,757.029358,467.264160,-1574.445190,139.395279,493.474792,-1358.336182,-25.348343,481.431061,-1371.600220,-53.924038,627.828308,-1377.940308,-60.444809,670.278870,-2818.325928,758.758362,422.269470,-2151.286621,906.350403,891.042053,-2721.772217,1159.003174,616.871216,-2481.301025,942.892700,485.984375
3,0.008333,-2834.423096,697.075317,503.995728,-2792.580078,757.005920,635.168823,-2759.974365,759.098267,626.847229,-2734.464111,716.432068,508.156586,-2771.705322,1407.672852,939.881714,-2718.369385,1473.040161,941.200684,-2134.123535,939.058411,965.840271,-2098.473389,972.609192,897.508972,-1578.845337,132.071884,535.174072,-1558.930664,96.619995,621.341675,-1566.125732,90.426788,664.396240,-2737.503418,717.326904,474.351379,-2885.365234,739.326721,502.804993,-2862.707275,717.847656,560.880676,-2547.760742,928.996582,599.579590,-2710.197754,1191.786621,516.566040,-2522.481689,896.024109,666.919678,-2688.671387,1394.221436,941.446777,-1515.059448,446.519012,1305.952148,-1598.021362,456.310150,1310.175537,-1547.302612,524.113037,1310.257568,-2783.693115,1165.606934,616.147034,-2803.032471,792.881653,625.039429,-2509.301025,969.569885,549.169495,-2814.478271,757.022888,467.223785,-1574.488403,139.401932,493.454987,-1358.308472,-25.352335,481.387299,-1371.608521,-53.935440,627.809692,-1377.928589,-60.435150,670.253784,-2818.296387,758.700684,422.150299,-2151.342041,906.386902,890.955261,-2721.776367,1158.984497,616.872559,-2481.292725,942.884705,485.997833
4,0.011111,-2834.432129,697.079346,503.984497,-2792.581543,756.992126,635.154114,-2759.958252,759.084656,626.831848,-2734.462646,716.443115,508.157013,-2771.714844,1407.688599,939.862122,-2718.385498,1473.052490,941.166138,-2134.114502,939.044800,965.820007,-2098.481201,972.589355,897.501587,-1578.849609,132.073822,535.116211,-1558.990356,96.598549,621.388428,-1566.134155,90.424698,664.392578,-2737.489258,717.307434,474.416656,-2885.362793,739.348328,502.796875,-2862.651367,717.881226,560.896118,-2547.733643,929.015137,599.566528,-2710.166992,1191.772705,516.579285,-2522.460449,896.032593,666.902893,-2688.648926,1394.201782,941.437927,-1515.062744,446.479553,1305.941406,-1598.028442,456.336121,1310.109619,-1547.297607,524.119629,1310.227905,-2783.674805,1165.620850,616.127869,-2803.041748,792.888794,625.020813,-2509.313965,969.547729,549.149353,-2814.472168,757.011780,467.172729,-1574.488770,139.419861,493.403595,-1358.269531,-25.343817,481.361328,-1371.550293,-53.888859,627.752075,-1377.935181,-60.439377,670.324402,-2818.298828,758.730469,422.089203,-2151.386963,906.460754,890.864807,-2721.780029,1158.985596,616.836792,-2481.301270,942.866943,486.023254
5,0.013889,-2834.424561,697.086792,503.961029,-2792.586426,756.999939,635.122559,-2759.951416,759.087280,626.835266,-2734.448975,716.461060,508.119995,-2771.731445,1407.689453,939.832642,-2718.375488,1473.056152,941.135254,-2134.104736,939.057678,965.818604,-2098.486084,972.578064,897.497620,-1578.838745,132.051636,535.096008,-1559.057007,96.601067,621.431213,-1566.113647,90.423073,664.376709,-2737.479492,717.342163,474.418488,-2885.350586,739.358521,502.786591,-2862.653564,717.889587,560.868469,-2547.714111,929.013977,599.560486,-2710.153076,1191.765381,516.595459,-2522.461182,896.062744,666.852783,-2688.624268,1394.206421,941.442566,-1515.056274,446.468262,1305.965210,-1598.030762,456.363037,1310.065796,-1547.292114,524.126587,1310.211182,-2783.690674,1165.643921,616.125549,-2803.020508,792.909790,625.012451,-2509.315430,969.541565,549.122681,-2814.490479,757.017029,467.100464,-1574.668213,139.471268,493.522125,-1358.228271,-25.323250,481.302765,-1371.537476,-53.833405,627.703918,-1377.967407,-60.476837,670.347656,-2818.300781,758.767151,422.022064,-2151.423340,906.508850,890.782898,-2721.770264,1158.969482,616.810181,-2481.313721,942.834351,486.056091
