Format Version,1.24,Take Name,R0_001,Take Notes,,Capture Frame Rate,360.000000,Export Frame Rate,360.000000,Capture Start Time,2026-08-27 07.09.46.694 PM,Capture Start Frame,364486,Total Frames in Take,2570,Total Exported Frames,2570,Rotation Type,Quaternion,Length Units,Millimeters,Coordinate Space,Global

,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Unlabeled 1186,Unlabeled 1186,Unlabeled 1186,Unlabeled 1187,Unlabeled 1187,Unlabeled 1187,Unlabeled 1188,Unlabeled 1188,Unlabeled 1188,Unlabeled 1189,Unlabeled 1189,Unlabeled 1189,Unlabeled 1190,Unlabeled 1190,Unlabeled 1190,Unlabeled 1191,Unlabeled 1191,Unlabeled 1191,Unlabeled 1192,Unlabeled 1192,Unlabeled 1192,Unlabeled 1193,Unlabeled 1193,Unlabeled 1193,Unlabeled 1194,Unlabeled 1194,Unlabeled 1194,Unlabeled 1195,Unlabeled 1195,Unlabeled 1195,Unlabeled 1196,Unlabeled 1196,Unlabeled 1196,Unlabeled 1197,Unlabeled 1197,Unlabeled 1197,Unlabeled 1198,Unlabeled 1198,Unlabeled 1198,Unlabeled 1199,Unlabeled 1199,Unlabeled 1199,Unlabeled 1200,Unlabeled 1200,Unlabeled 1200,Unlabeled 1201,Unlabeled 1201,Unlabeled 1201,Unlabeled 1202,Unlabeled 1202,Unlabeled 1202,Unlabeled 1203,Unlabeled 1203,Unlabeled 1203,Unlabeled 1204,Unlabeled 1204,Unlabeled 1204,Unlabeled 1205,Unlabeled 1205,Unlabeled 1205,Unlabeled 1206,Unlabeled 1206,Unlabeled 1206,Unlabeled 1207,Unlabeled 1207,Unlabeled 1207,Unlabeled 1208,Unlabeled 1208,Unlabeled 1208,Unlabeled 1209,Unlabeled 1209,Unlabeled 1209,Unlabeled 1210,Unlabeled 1210,Unlabeled 1210,Unlabeled 1211,Unlabeled 1211,Unlabeled 1211,Unlabeled 1212,Unlabeled 1212,Unlabeled 1212,Unlabeled 1213,Unlabeled 1213,Unlabeled 1213,Unlabeled 1214,Unlabeled 1214,Unlabeled 1214,Unlabeled 1215,Unlabeled 1215,Unlabeled 1215,Unlabeled 1216,Unlabeled 1216,Unlabeled 1216,Unlabeled 1217,Unlabeled 1217,Unlabeled 1217,Unlabeled 1218,Unlabeled 1218,Unlabeled 1218,Unlabeled 1219,Unlabeled 1219,Unlabeled 1219,Unlabeled 1220,Unlabeled 1220,Unlabeled 1220
,ID,"1B7BB185FA23711F1","1B7BB185FA23711F1","1B7BB185FA23711F1","3B7BB185FA23711F1","3B7BB185FA23711F1","3B7BB185FA23711F1","4B7BB185FA23711F1","4B7BB185FA23711F1","4B7BB185FA23711F1","5B7BB185FA23711F1","5B7BB185FA23711F1","5B7BB185FA23711F1","6B7BB185FA23711F1","6B7BB185FA23711F1","6B7BB185FA23711F1","11B7BB185FA23711F1","11B7BB185FA23711F1","11B7BB185FA23711F1","12B7BB185FA23711F1","12B7BB185FA23711F1","12B7BB185FA23711F1","13B7BB185FA23711F1","13B7BB185FA23711F1","13B7BB185FA23711F1","14B7BB185FA23711F1","14B7BB185FA23711F1","14B7BB185FA23711F1","1AB7BB185FA23711F1","1AB7BB185FA23711F1","1AB7BB185FA23711F1","1FB7BB185FA23711F1","1FB7BB185FA23711F1","1FB7BB185FA23711F1","20B7BB185FA23711F1","20B7BB185FA23711F1","20B7BB185FA23711F1","67B7BB185FA23711F1","67B7BB185FA23711F1","67B7BB185FA23711F1","E7B7BB185FA23711F1","E7B7BB185FA23711F1","E7B7BB185FA23711F1","E8B7BB185FA23711F1","E8B7BB185FA23711F1","E8B7BB185FA23711F1","ECB7BB185FA23711F1","ECB7BB185FA23711F1","ECB7BB185FA23711F1","F4B7BB185FA23711F1","F4B7BB185FA23711F1","F4B7BB185FA23711F1","FAB7BB185FA23711F1","FAB7BB185FA23711F1","FAB7BB185FA23711F1","109B7BB185FA23711F1","109B7BB185FA23711F1","109B7BB185FA23711F1","118B7BB185FA23711F1","118B7BB185FA23711F1","118B7BB185FA23711F1","11CB7BB185FA23711F1","11CB7BB185FA23711F1","11CB7BB185FA23711F1","11EB7BB185FA23711F1","11EB7BB185FA23711F1","11EB7BB185FA23711F1","11FB7BB185FA23711F1","11FB7BB185FA23711F1","11FB7BB185FA23711F1","120B7BB185FA23711F1","120B7BB185FA23711F1","120B7BB185FA23711F1","14AB7BB185FA23711F1","14AB7BB185FA23711F1","14AB7BB185FA23711F1","14BB7BB185FA23711F1","14BB7BB185FA23711F1","14BB7BB185FA23711F1","150B7BB185FA23711F1","150B7BB185FA23711F1","150B7BB185FA23711F1","154B7BB185FA23711F1","154B7BB185FA23711F1","154B7BB185FA23711F1","157B7BB185FA23711F1","157B7BB185FA23711F1","157B7BB185FA23711F1","158B7BB185FA23711F1","158B7BB185FA23711F1","158B7BB185FA23711F1","159B7BB185FA23711F1","159B7BB185FA23711F1","159B7BB185FA23711F1","15AB7BB185FA23711F1","15AB7BB185FA23711F1","15AB7BB185FA23711F1","15BB7BB185FA23711F1","15BB7BB185FA23711F1","15BB7BB185FA23711F1","15CB7BB185FA23711F1","15CB7BB185FA23711F1","15CB7BB185FA23711F1","15DB7BB185FA23711F1","15DB7BB185FA23711F1","15DB7BB185FA23711F1"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,-4411.496582,1271.080200,654.769836,-4239.316406,1669.154541,896.935730,-3533.851562,1791.622314,1303.307129,-3561.096191,1871.291626,1302.403320,-3478.278320,1854.387085,1299.704956,-4780.906738,1206.560059,600.829773,-4227.624023,1607.140137,952.129333,-4977.632324,1356.158813,920.461853,-3026.399658,1326.607910,510.351532,-3042.316406,1444.098145,633.706238,-5001.690430,1437.450684,920.855347,-4919.742188,1417.380249,922.258972,-2994.311523,1331.731323,568.542847,-2975.617432,1675.332275,670.902954,-3008.856445,1432.538818,642.140564,-2962.791992,1342.936523,511.097778,-4213.300293,1593.648682,870.223267,-4463.404785,1322.071655,536.215698,-2929.337402,1426.089600,530.331787,-4452.295898,1267.639893,586.948486,-4785.619141,1257.201294,449.944763,-2928.986816,1423.216309,496.548340,-4760.583496,1281.797119,499.995544,-3010.416504,1407.879517,464.537720,-3246.419922,1617.510986,532.930847,-3206.109619,1605.669556,662.585205,-3011.071533,1404.349121,419.169678,-3007.689209,1427.638428,597.347107,-3249.895264,1623.833740,491.226868,-3207.280518,1612.721680,620.508545,-2990.283936,1460.097168,634.797913,-2976.199463,1683.060669,628.981445,-3004.215820,1684.019531,573.836304,-2992.745850,1695.972168,522.798645,,,
1,0.002778,-4411.493164,1271.081055,654.765686,-4239.395020,1669.243164,896.892029,-3533.862549,1791.625732,1303.299805,-3561.095215,1871.300415,1302.408081,-3478.274902,1854.432007,1299.671753,-4780.886719,1206.603027,600.803406,-4227.642578,1607.150024,952.135681,-4977.636230,1356.163818,920.455627,-3026.406006,1326.604370,510.348907,-3042.402100,1444.272095,633.891846,-5001.695312,1437.439941,920.838684,-4919.736816,1417.382446,922.262695,-2994.323730,1331.749390,568.539246,-2975.615479,1675.343018,670.915283,-3008.860840,1432.542358,642.146790,-2962.790527,1342.944824,511.104401,-4213.300781,1593.661377,870.212402,-4463.407227,1322.085449,536.220520,-2929.347900,1426.087158,530.323303,-4452.296875,1267.658569,586.961609,-4785.637207,1257.197144,449.959900,-2928.701904,1423.297241,496.799316,-4760.595215,1281.785767,499.972565,-3010.426025,1407.838135,464.452911,-3246.406494,1617.572754,532.928162,-3206.147949,1605.718994,662.543335,-3011.064209,1404.361206,419.136505,-3007.697266,1427.633301,597.333496,-3249.894775,1623.800293,491.240845,-3207.290039,1612.736572,620.504089,-2990.292725,1460.103882,634.798950,-2976.232910,1683.126587,628.927490,-3004.211914,1684.009888,573.849487,-2992.775391,1695.985840,522.765137,,,
2,0.005556,-4411.489258,1271.101685,654.769287,-4239.388184,1669.244507,896.895935,-3533.870361,1791.620728,1303.291626,-3561.110107,1871.292114,1302.401123,-3478.074463,1854.560791,1299.550415,-4780.897461,1206.592407,600.813293,-4227.627930,1607.166748,952.137146,-4977.675293,1356.164062,920.425781,-3026.408447,1326.612549,510.348022,-3042.328613,1444.124878,633.740173,-5001.689453,1437.438965,920.857117,-4919.749512,1417.397583,922.261841,-2994.319580,1331.733887,568.537964,-2975.627441,1675.361572,670.890503,-3008.852295,1432.541138,642.141846,-2962.787109,1342.937988,511.104889,-4213.307129,1593.664551,870.219299,-4463.407715,1322.098633,536.221375,-2929.347412,1426.079590,530.329407,-4452.280762,1267.634521,586.956604,-4785.664551,1257.211304,449.928162,-2929.011230,1423.214722,496.515594,-4760.578125,1281.788696,499.992340,-3010.427002,1407.837524,464.437378,-3246.425049,1617.493286,532.940002,-3206.127197,1605.716797,662.554199,-3011.060791,1404.336548,419.134552,-3007.714600,1427.609985,597.323486,-3249.905029,1623.826782,491.226044,-3207.265869,1612.717773,620.492554,-2990.276123,1460.088257,634.794434,-2976.204590,1683.031616,629.009033,-3004.228516,1684.028564,573.837585,-2992.770996,1696.004272,522.745605,,,
3,0.008333,-4411.515137,1271.090454,654.759888,-4239.364258,1669.208618,896.905151,-3533.853516,1791.627197,1303.296021,-3561.111084,1871.306396,1302.390015,-3478.242188,1854.506104,1299.615967,-4780.934570,1206.598145,600.819214,-4227.645996,1607.167480,952.128723,-4977.695312,1356.171143,920.424133,-3026.413818,1326.630493,510.345459,-3042.397461,1444.269653,633.864624,-5001.700684,1437.428467,920.848816,-4919.744629,1417.386353,922.257568,-2994.323242,1331.746582,568.545227,-2975.641602,1675.372070,670.890320,-3008.856689,1432.543823,642.140869,-2962.801758,1342.946045,511.094269,-4213.312988,1593.665649,870.210388,-4463.416504,1322.105103,536.220032,-2929.345459,1426.083984,530.317871,-4452.300781,1267.636597,586.971436,-4785.661621,1257.217651,449.918884,-2929.159180,1423.184326,496.372559,-4760.592285,1281.794312,499.980255,-3010.441162,1407.841064,464.417694,-3246.437500,1617.475098,532.963135,-3206.141602,1605.722778,662.528687,-3011.073975,1404.353271,419.161530,-3007.743408,1427.608887,597.298401,-3249.862793,1623.857422,491.213715,-3207.296387,1612.724365,620.495300,-2990.293457,1460.094849,634.789917,-2976.230957,1683.111328,628.960144,-3004.209961,1684.002197,573.854553,-2992.783691,1696.023560,522.742493,,,
4,0.011111,-4411.499023,1271.092285,654.751831,-4239.356445,1669.199463,896.922729,-3533.874023,1791.624756,1303.302246,-3561.124268,1871.293213,1302.386963,-3478.264160,1854.451660,1299.656128,-4780.921387,1206.605591,600.793152,-4227.640137,1607.164062,952.129028,-4977.694824,1356.171753,920.416809,-3026.414551,1326.634399,510.330383,-3042.334473,1444.138428,633.721130,-5001.693848,1437.420654,920.833984,-4919.747070,1417.389893,922.261047,-2994.308594,1331.738647,568.538513,-2975.648926,1675.375854,670.874329,-3008.871338,1432.563110,642.154663,-2962.803467,1342.947388,511.085510,-4213.333984,1593.667603,870.191895,-4463.420898,1322.108154,536.219055,-2929.348633,1426.081421,530.331421,-4452.281738,1267.643188,586.960205,-4785.653809,1257.253052,449.898590,-2929.158447,1423.200195,496.353577,-4760.604980,1281.801392,499.991974,-3010.442383,1407.861206,464.419037,-3246.445801,1617.568359,532.908142,-3206.134521,1605.697632,662.571716,-3011.048340,1404.327026,419.132202,-3007.724854,1427.600342,597.304138,-3249.875732,1623.895142,491.194611,-3207.281982,1612.704590,620.493042,-2990.285400,1460.096313,634.788940,-2976.184570,1683.071655,629.002869,-3004.203369,1684.014404,573.845520,-2992.761230,1695.990112,522.758057,,,
5,0.013889,-4411.502441,1271.092041,654.747498,-4239.359375,1669.192871,896.929932,-3533.858398,1791.631104,1303.304932,-3561.109375,1871.309937,1302.382935,-3478.261475,1854.456909,1299.653076,-4780.912109,1206.618774,600.794983,-4227.649414,1607.163696,952.117065,-4977.648438,1356.178467,920.444580,-3026.406006,1326.627686,510.329834,-3042.325928,1444.120972,633.694946,-5001.691406,1437.420898,920.826050,-4919.737305,1417.394409,922.258972,-2994.326416,1331.735840,568.528076,-2975.624268,1675.367432,670.880249,-3008.872070,1432.560059,642.143433,-2962.799316,1342.953247,511.097260,-4213.333008,1593.660400,870.209656,-4463.429199,1322.095459,536.206909,-2929.342041,1426.085205,530.337402,-4452.286621,1267.651245,586.940796,-4785.626953,1257.225830,449.934845,-2929.139404,1423.202759,496.375122,-4760.588379,1281.797852,500.003876,-3010.435547,1407.864624,464.427856,-3246.405762,1617.559692,532.908813,-3206.122314,1605.703003,662.548645,-3011.054443,1404.325562,419.138428,-3007.738525,1427.594727,597.294678,-3249.859619,1623.874512,491.186005,-3207.259521,1612.749878,620.488281,-2990.276367,1460.098145,634.793030,-2976.236816,1683.093140,628.991150,-3004.220459,1684.024048,573.833191,-2992.743164,1695.973389,522.776428,,,
