Format Version,1.24,Take Name,RStatic_001,Take Notes,,Capture Frame Rate,360.000000,Export Frame Rate,360.000000,Capture Start Time,2026-08-27 06.56.30.646 PM,Capture Start Frame,77911,Total Frames in Take,2121,Total Exported Frames,2121,Rotation Type,Quaternion,Length Units,Millimeters,Coordinate Space,Global

,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Unlabeled 1000,Unlabeled 1000,Unlabeled 1000,Unlabeled 1001,Unlabeled 1001,Unlabeled 1001,Unlabeled 1002,Unlabeled 1002,Unlabeled 1002,Unlabeled 1003,Unlabeled 1003,Unlabeled 1003,Unlabeled 1004,Unlabeled 1004,Unlabeled 1004,Unlabeled 1005,Unlabeled 1005,Unlabeled 1005,Unlabeled 1006,Unlabeled 1006,Unlabeled 1006,Unlabeled 1007,Unlabeled 1007,Unlabeled 1007,Unlabeled 1008,Unlabeled 1008,Unlabeled 1008,Unlabeled 1009,Unlabeled 1009,Unlabeled 1009,Unlabeled 1010,Unlabeled 1010,Unlabeled 1010,Unlabeled 1011,Unlabeled 1011,Unlabeled 1011,Unlabeled 1012,Unlabeled 1012,Unlabeled 1012,Unlabeled 1013,Unlabeled 1013,Unlabeled 1013,Unlabeled 1014,Unlabeled 1014,Unlabeled 1014,Unlabeled 1015,Unlabeled 1015,Unlabeled 1015,Unlabeled 1016,Unlabeled 1016,Unlabeled 1016,Unlabeled 1017,Unlabeled 1017,Unlabeled 1017,Unlabeled 1018,Unlabeled 1018,Unlabeled 1018,Unlabeled 1019,Unlabeled 1019,Unlabeled 1019,Unlabeled 1020,Unlabeled 1020,Unlabeled 1020,Unlabeled 1021,Unlabeled 1021,Unlabeled 1021,Unlabeled 1022,Unlabeled 1022,Unlabeled 1022,Unlabeled 1023,Unlabeled 1023,Unlabeled 1023,Unlabeled 1024,Unlabeled 1024,Unlabeled 1024,Unlabeled 1025,Unlabeled 1025,Unlabeled 1025,Unlabeled 1026,Unlabeled 1026,Unlabeled 1026,Unlabeled 1027,Unlabeled 1027,Unlabeled 1027,Unlabeled 1028,Unlabeled 1028,Unlabeled 1028,Unlabeled 1029,Unlabeled 1029,Unlabeled 1029,Unlabeled 1030,Unlabeled 1030,Unlabeled 1030,Unlabeled 1031,Unlabeled 1031,Unlabeled 1031,Unlabeled 1032,Unlabeled 1032,Unlabeled 1032,Unlabeled 1033,Unlabeled 1033,Unlabeled 1033,Unlabeled 1034,Unlabeled 1034,Unlabeled 1034,Unlabeled 1035,Unlabeled 1035,Unlabeled 1035
,ID,"1B7BB185FA23711F1","1B7BB185FA23711F1","1B7BB185FA23711F1","2B7BB185FA23711F1","2B7BB185FA23711F1","2B7BB185FA23711F1","3B7BB185FA23711F1","3B7BB185FA23711F1","3B7BB185FA23711F1","4B7BB185FA23711F1","4B7BB185FA23711F1","4B7BB185FA23711F1","5B7BB185FA23711F1","5B7BB185FA23711F1","5B7BB185FA23711F1","6B7BB185FA23711F1","6B7BB185FA23711F1","6B7BB185FA23711F1","7B7BB185FA23711F1","7B7BB185FA23711F1","7B7BB185FA23711F1","8B7BB185FA23711F1","8B7BB185FA23711F1","8B7BB185FA23711F1","9B7BB185FA23711F1","9B7BB185FA23711F1","9B7BB185FA23711F1","CB7BB185FA23711F1","CB7BB185FA23711F1","CB7BB185FA23711F1","EB7BB185FA23711F1","EB7BB185FA23711F1","EB7BB185FA23711F1","10B7BB185FA23711F1","10B7BB185FA23711F1","10B7BB185FA23711F1","11B7BB185FA23711F1","11B7BB185FA23711F1","11B7BB185FA23711F1","12B7BB185FA23711F1","12B7BB185FA23711F1","12B7BB185FA23711F1","13B7BB185FA23711F1","13B7BB185FA23711F1","13B7BB185FA23711F1","14B7BB185FA23711F1","14B7BB185FA23711F1","14B7BB185FA23711F1","15B7BB185FA23711F1","15B7BB185FA23711F1","15B7BB185FA23711F1","16B7BB185FA23711F1","16B7BB185FA23711F1","16B7BB185FA23711F1","1AB7BB185FA23711F1","1AB7BB185FA23711F1","1AB7BB185FA23711F1","1FB7BB185FA23711F1","1FB7BB185FA23711F1","1FB7BB185FA23711F1","20B7BB185FA23711F1","20B7BB185FA23711F1","20B7BB185FA23711F1","21B7BB185FA23711F1","21B7BB185FA23711F1","21B7BB185FA23711F1","29B7BB185FA23711F1","29B7BB185FA23711F1","29B7BB185FA23711F1","39B7BB185FA23711F1","39B7BB185FA23711F1","39B7BB185FA23711F1","3AB7BB185FA23711F1","3AB7BB185FA23711F1","3AB7BB185FA23711F1","3BB7BB185FA23711F1","3BB7BB185FA23711F1","3BB7BB185FA23711F1","3CB7BB185FA23711F1","3CB7BB185FA23711F1","3CB7BB185FA23711F1","3DB7BB185FA23711F1","3DB7BB185FA23711F1","3DB7BB185FA23711F1","3FB7BB185FA23711F1","3FB7BB185FA23711F1","3FB7BB185FA23711F1","40B7BB185FA23711F1","40B7BB185FA23711F1","40B7BB185FA23711F1","41B7BB185FA23711F1","41B7BB185FA23711F1","41B7BB185FA23711F1","42B7BB185FA23711F1","42B7BB185FA23711F1","42B7BB185FA23711F1","44B7BB185FA23711F1","44B7BB185FA23711F1","44B7BB185FA23711F1","48B7BB185FA23711F1","48B7BB185FA23711F1","48B7BB185FA23711F1","49B7BB185FA23711F1","49B7BB185FA23711F1","49B7BB185FA23711F1","4AB7BB185FA23711F1","4AB7BB185FA23711F1","4AB7BB185FA23711F1"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,-4517.451172,1924.028931,658.228455,-4552.499512,1945.739746,590.258850,-4141.488770,2141.978760,899.195984,-3499.404785,1821.092041,1302.412109,-3473.382568,1901.359985,1301.886963,-3417.263672,1838.520020,1298.358887,-3294.085449,1224.601440,698.685547,-3261.424805,1237.634033,685.032349,-3231.921387,1173.301880,587.934937,-3337.708740,1130.594604,628.164917,-3374.852295,1511.751099,531.288940,-3345.220459,1484.465942,618.595642,-4852.823242,2091.811279,605.404785,-4168.381348,2084.945801,954.651245,-4921.011719,2327.894531,926.132874,-3367.229492,1141.060303,569.902283,-3121.499756,1397.588867,667.841431,-4165.771973,2066.001953,872.880432,-3312.550293,1255.803345,684.204590,-4893.492676,2408.093506,926.580017,-4838.147461,2342.811523,927.781311,-4528.753418,1996.891479,539.513611,-3234.224854,1168.588989,554.236572,-3109.405518,1414.133545,557.625610,-3116.098389,1435.389038,478.307526,-3123.467773,1424.754150,519.966736,-3118.083984,1404.582886,625.834900,-3305.003174,1119.484619,571.660217,-3312.965088,1191.867432,474.150482,-3348.789551,1478.274414,660.570740,-3372.500732,1519.867676,488.761658,-4826.412598,2136.668701,453.786865,-4493.694824,1979.190186,477.253448,-4792.311523,2139.901123,505.318512,-3296.724365,1218.075073,653.405762,-3308.946289,1200.156738,519.472595
1,0.002778,-4517.449219,1924.024048,658.233215,-4552.509766,1945.762207,590.244812,-4141.489746,2141.999268,899.224609,-3499.395020,1821.107544,1302.416382,-3473.381836,1901.358276,1301.879028,-3417.274658,1838.540161,1298.364746,-3294.090088,1224.606567,698.687439,-3261.419189,1237.628174,685.061096,-3231.918701,1173.269287,587.957153,-3337.712891,1130.598511,628.164185,-3374.851318,1511.762695,531.272095,-3345.195312,1484.456665,618.605774,-4852.819824,2091.801514,605.407837,-4168.374512,2084.947754,954.685242,-4921.023438,2327.903320,926.126709,-3367.260986,1140.976685,569.943298,-3121.517090,1397.604004,667.838318,-4165.742676,2066.004395,872.897705,-3312.561035,1255.816406,684.218933,-4893.458984,2408.054443,926.605103,-4838.122070,2342.817139,927.786316,-4528.738281,1996.901611,539.507629,-3234.213867,1168.589600,554.242065,-3109.418701,1414.154297,557.594910,-3116.092773,1435.430176,478.271576,-3123.463135,1424.784302,519.937622,-3118.124756,1404.556519,625.880920,-3305.016846,1119.488770,571.639160,-3312.956055,1191.864990,474.168121,-3348.771729,1478.283569,660.566833,-3372.476074,1519.904175,488.781525,-4826.457031,2136.656982,453.814697,-4493.705078,1979.160645,477.262238,-4792.315918,2139.916260,505.344208,-3296.759766,1218.068115,653.444092,-3308.918945,1200.172363,519.434814
2,0.005556,-4517.445801,1924.023682,658.245667,-4552.545410,1945.761963,590.263184,-4141.481445,2141.973389,899.244019,-3499.399414,1821.093262,1302.423340,-3473.362793,1901.369873,1301.897827,-3417.299561,1838.536011,1298.354126,-3294.092041,1224.609985,698.700256,-3261.429199,1237.627197,685.050598,-3231.913574,1173.272217,587.986633,-3337.710449,1130.605591,628.160400,-3374.843018,1511.775757,531.277527,-3345.209229,1484.490234,618.610474,-4852.776855,2091.792725,605.420349,-4168.375488,2084.954590,954.691284,-4921.008301,2327.885498,926.130676,-3367.289551,1140.969360,569.938660,-3121.522949,1397.615967,667.834961,-4165.807617,2065.985840,872.887390,-3312.563721,1255.799561,684.245789,-4893.472656,2408.041260,926.637634,-4838.129395,2342.801514,927.800354,-4528.731934,1996.913574,539.491821,-3234.203125,1168.598267,554.261047,-3109.388672,1414.159668,557.588928,-3116.059082,1435.460083,478.263214,-3123.463623,1424.796753,519.939026,-3118.116699,1404.581543,625.864807,-3305.008301,1119.490723,571.646729,-3312.986084,1191.861084,474.214294,-3348.776855,1478.282959,660.546082,-3372.458496,1519.906372,488.762360,-4826.444336,2136.668701,453.814545,-4493.709473,1979.112183,477.288849,-4792.285645,2139.906006,505.358826,-3296.678711,1218.060059,653.464050,-3308.838135,1200.140747,519.437500
3,0.008333,-4517.456543,1924.019409,658.235413,-4552.542969,1945.766479,590.258911,-4141.489746,2141.972168,899.271790,-3499.416748,1821.095825,1302.427734,-3473.368652,1901.349365,1301.909058,-3417.287842,1838.521729,1298.348267,-3294.087646,1224.596924,698.723511,-3261.440918,1237.625366,685.033997,-3231.907715,1173.269653,587.997925,-3337.721436,1130.593750,628.169739,-3374.849365,1511.785400,531.248169,-3345.271484,1484.522705,618.524048,-4852.747070,2091.759521,605.416504,-4168.376465,2084.947998,954.707703,-4920.991211,2327.857178,926.150146,-3367.285156,1140.953247,569.959290,-3121.506592,1397.616821,667.833557,-4165.755371,2066.022705,872.915894,-3312.574219,1255.790771,684.245728,-4893.437012,2408.156250,926.804321,-4838.125977,2342.798828,927.813477,-4528.767090,1996.931641,539.479858,-3234.220215,1168.613403,554.260315,-3109.397949,1414.182983,557.568909,-3116.058594,1435.467896,478.278015,-3123.481201,1424.799438,519.940063,-3118.129150,1404.595703,625.875366,-3305.020996,1119.503540,571.632874,-3312.991211,1191.823853,474.214630,-3348.763184,1478.296875,660.539856,-3372.428711,1519.904541,488.732971,-4826.464844,2136.653564,453.823669,-4493.731934,1979.180054,477.250854,-4792.266113,2139.880371,505.385040,-3296.717529,1218.053955,653.485046,-3308.821533,1200.154663,519.431519
4,0.011111,-4517.466309,1924.025513,658.250000,-4552.539062,1945.799683,590.238586,-4141.483398,2141.965820,899.280640,-3499.415771,1821.096680,1302.438599,-3473.372314,1901.344482,1301.925659,-3417.305908,1838.514771,1298.341675,-3294.072021,1224.594971,698.735229,-3261.423096,1237.628540,685.035828,-3231.905273,1173.237549,588.016479,-3337.718750,1130.596069,628.155823,-3374.867676,1511.812012,531.234619,-3345.216797,1484.508423,618.575989,-4852.763184,2091.740723,605.465088,-4168.380859,2084.934326,954.728699,-4920.936523,2327.908447,926.133606,-3367.302734,1140.957397,569.932678,-3121.509766,1397.643555,667.796387,-4165.788574,2066.015137,872.898254,-3312.589111,1255.786987,684.272400,-4893.424316,2408.219971,926.861450,-4838.138672,2342.792236,927.840149,-4528.700684,1996.946289,539.492737,-3234.192383,1168.622925,554.269043,-3109.407227,1414.208618,557.564270,-3116.079346,1435.494629,478.254089,-3123.462402,1424.805420,519.952026,-3118.132568,1404.604614,625.835693,-3305.023682,1119.527832,571.609192,-3313.018066,1191.781738,474.249420,-3348.801270,1478.295166,660.535583,-3372.394531,1519.939697,488.692749,-4826.538086,2136.605957,453.846008,-4493.730957,1979.201782,477.236603,-4792.252441,2139.878906,505.390228,-3296.685303,1218.026123,653.519775,-3308.807861,1200.173584,519.436523
5,0.013889,-4517.458984,1924.024292,658.257812,-4552.546387,1945.797241,590.246033,-4141.449219,2141.947266,899.300781,-3499.408691,1821.096802,1302.439209,-3473.372559,1901.344604,1301.945068,-3417.316162,1838.500610,1298.347046,-3294.080078,1224.593872,698.741028,-3261.437744,1237.648804,685.019165,-3231.926758,1173.239380,588.019653,-3337.742676,1130.606567,628.169250,-3374.879639,1511.834717,531.220215,-3345.229980,1484.518066,618.574097,-4852.741699,2091.711426,605.482056,-4168.395508,2084.924072,954.730042,-4920.957031,2327.846680,926.189392,-3367.293701,1140.954102,569.958679,-3121.518555,1397.633667,667.792542,-4165.761230,2066.020996,872.884949,-3312.623291,1255.757202,684.301697,-4893.411133,2408.188965,926.859070,-4838.137207,2342.784912,927.848389,-4528.689453,1996.944458,539.535645,-3234.181885,1168.623169,554.268188,-3109.448486,1414.245728,557.515137,-3116.087158,1435.510010,478.236298,-3123.447266,1424.813965,519.924377,-3118.153076,1404.604736,625.845215,-3305.008789,1119.545532,571.598633,-3313.012695,1191.765015,474.252838,-3348.824951,1478.301758,660.539124,-3372.379150,1519.942627,488.687561,-4826.588379,2136.582520,453.886902,-4493.726074,1979.213135,477.198486,-4792.225098,2139.856445,505.411804,-3296.649414,1217.922241,653.618835,-3308.787109,1200.184204,519.455139
