Format Version,1.24,Take Name,SW_002,Take Notes,,Capture Frame Rate,360.000000,Export Frame Rate,360.000000,Capture Start Time,2026-08-27 06.36.30.407 PM,Capture Start Frame,864720,Total Frames in Take,5600,Total Exported Frames,5600,Rotation Type,Quaternion,Length Units,Millimeters,Coordinate Space,Global

,Type,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
,Name,Unlabeled 2073,Unlabeled 2073,Unlabeled 2073,Unlabeled 2074,Unlabeled 2074,Unlabeled 2074,Unlabeled 2075,Unlabeled 2075,Unlabeled 2075,Unlabeled 2076,Unlabeled 2076,Unlabeled 2076,Unlabeled 2077,Unlabeled 2077,Unlabeled 2077,Unlabeled 2078,Unlabeled 2078,Unlabeled 2078,Unlabeled 2079,Unlabeled 2079,Unlabeled 2079,Unlabeled 2080,Unlabeled 2080,Unlabeled 2080,Unlabeled 2081,Unlabeled 2081,Unlabeled 2081,Unlabeled 2082,Unlabeled 2082,Unlabeled 2082,Unlabeled 2083,Unlabeled 2083,Unlabeled 2083,Unlabeled 2084,Unlabeled 2084,Unlabeled 2084,Unlabeled 2085,Unlabeled 2085,Unlabeled 2085,Unlabeled 2086,Unlabeled 2086,Unlabeled 2086,Unlabeled 2087,Unlabeled 2087,Unlabeled 2087,Unlabeled 2088,Unlabeled 2088,Unlabeled 2088,Unlabeled 2089,Unlabeled 2089,Unlabeled 2089,Unlabeled 2090,Unlabeled 2090,Unlabeled 2090,Unlabeled 2091,Unlabeled 2091,Unlabeled 2091,Unlabeled 2092,Unlabeled 2092,Unlabeled 2092,Unlabeled 2093,Unlabeled 2093,Unlabeled 2093,Unlabeled 2094,Unlabeled 2094,Unlabeled 2094,Unlabeled 2095,Unlabeled 2095,Unlabeled 2095,Unlabeled 2096,Unlabeled 2096,Unlabeled 2096,Unlabeled 2097,Unlabeled 2097,Unlabeled 2097,Unlabeled 2098,Unlabeled 2098,Unlabeled 2098,Unlabeled 2099,Unlabeled 2099,Unlabeled 2099,Unlabeled 2100,Unlabeled 2100,Unlabeled 2100,Unlabeled 2101,Unlabeled 2101,Unlabeled 2101,Unlabeled 2102,Unlabeled 2102,Unlabeled 2102,Unlabeled 2103,Unlabeled 2103,Unlabeled 2103,Unlabeled 2104,Unlabeled 2104,Unlabeled 2104,Unlabeled 2105,Unlabeled 2105,Unlabeled 2105,Unlabeled 2106,Unlabeled 2106,Unlabeled 2106,Unlabeled 2107,Unlabeled 2107,Unlabeled 2107,Unlabeled 2108,Unlabeled 2108,Unlabeled 2108
,ID,"10D5A0DB15A22F11F1","10D5A0DB15A22F11F1","10D5A0DB15A22F11F1","11D5A0DB15A22F11F1","11D5A0DB15A22F11F1","11D5A0DB15A22F11F1","14D5A0DB15A22F11F1","14D5A0DB15A22F11F1","14D5A0DB15A22F11F1","15D5A0DB15A22F11F1","15D5A0DB15A22F11F1","15D5A0DB15A22F11F1","16D5A0DB15A22F11F1","16D5A0DB15A22F11F1","16D5A0DB15A22F11F1","1BD5A0DB15A22F11F1","1BD5A0DB15A22F11F1","1BD5A0DB15A22F11F1","66D5A0DB15A22F11F1","66D5A0DB15A22F11F1","66D5A0DB15A22F11F1","6CD5A0DB15A22F11F1","6CD5A0DB15A22F11F1","6CD5A0DB15A22F11F1","6DD5A0DB15A22F11F1","6DD5A0DB15A22F11F1","6DD5A0DB15A22F11F1","311D5A0DB15A22F11F1","311D5A0DB15A22F11F1","311D5A0DB15A22F11F1","312D5A0DB15A22F11F1","312D5A0DB15A22F11F1","312D5A0DB15A22F11F1","32AD5A0DB15A22F11F1","32AD5A0DB15A22F11F1","32AD5A0DB15A22F11F1","3B8D5A0DB15A22F11F1","3B8D5A0DB15A22F11F1","3B8D5A0DB15A22F11F1","3BBD5A0DB15A22F11F1","3BBD5A0DB15A22F11F1","3BBD5A0DB15A22F11F1","3C1D5A0DB15A22F11F1","3C1D5A0DB15A22F11F1","3C1D5A0DB15A22F11F1","3C7D5A0DB15A22F11F1","3C7D5A0DB15A22F11F1","3C7D5A0DB15A22F11F1","3E0D5A0DB15A22F11F1","3E0D5A0DB15A22F11F1","3E0D5A0DB15A22F11F1","3E9D5A0DB15A22F11F1","3E9D5A0DB15A22F11F1","3E9D5A0DB15A22F11F1","3F6D5A0DB15A22F11F1","3F6D5A0DB15A22F11F1","3F6D5A0DB15A22F11F1","3F7D5A0DB15A22F11F1","3F7D5A0DB15A22F11F1","3F7D5A0DB15A22F11F1","3F9D5A0DB15A22F11F1","3F9D5A0DB15A22F11F1","3F9D5A0DB15A22F11F1","3FDD5A0DB15A22F11F1","3FDD5A0DB15A22F11F1","3FDD5A0DB15A22F11F1","3FED5A0DB15A22F11F1","3FED5A0DB15A22F11F1","3FED5A0DB15A22F11F1","407D5A0DB15A22F11F1","407D5A0DB15A22F11F1","407D5A0DB15A22F11F1","40BD5A0DB15A22F11F1","40BD5A0DB15A22F11F1","40BD5A0DB15A22F11F1","40CD5A0DB15A22F11F1","40CD5A0DB15A22F11F1","40CD5A0DB15A22F11F1","410D5A0DB15A22F11F1","410D5A0DB15A22F11F1","410D5A0DB15A22F11F1","412D5A0DB15A22F11F1","412D5A0DB15A22F11F1","412D5A0DB15A22F11F1","413D5A0DB15A22F11F1","413D5A0DB15A22F11F1","413D5A0DB15A22F11F1","438D5A0DB15A22F11F1","438D5A0DB15A22F11F1","438D5A0DB15A22F11F1","439D5A0DB15A22F11F1","439D5A0DB15A22F11F1","439D5A0DB15A22F11F1","43AD5A0DB15A22F11F1","43AD5A0DB15A22F11F1","43AD5A0DB15A22F11F1","43BD5A0DB15A22F11F1","43BD5A0DB15A22F11F1","43BD5A0DB15A22F11F1","441D5A0DB15A22F11F1","441D5A0DB15A22F11F1","441D5A0DB15A22F11F1","442D5A0DB15A22F11F1","442D5A0DB15A22F11F1","442D5A0DB15A22F11F1","444D5A0DB15A22F11F1","444D5A0DB15A22F11F1","444D5A0DB15A22F11F1"
,,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
0,0.000000,-2546.956055,930.278564,599.341675,-2708.831543,1193.137817,516.231262,-1515.737915,445.954834,1307.489502,-1598.559204,456.143829,1311.124146,-1547.988159,523.914673,1311.065552,-2508.235840,970.689819,549.051025,-2096.397705,975.283508,908.997314,-2139.562744,932.116089,966.616211,-2145.735596,911.359436,885.185181,-1572.911255,139.882874,493.604156,-1578.180542,132.562347,535.846436,-2720.563721,1160.361572,616.654236,-1371.605347,-53.910847,628.812622,-1565.620239,90.781151,664.912781,-1377.697266,-60.185612,671.652771,-1359.890015,-47.339123,562.549255,-1369.127563,-28.256224,522.869141,-1555.873291,-235.456268,584.903748,-2717.733887,1474.121094,941.013611,-2687.903076,1395.096069,941.407654,-2771.051758,1408.730713,939.569519,-2782.574219,1166.867065,615.733887,-2521.589355,897.265625,666.542969,-1625.926392,-189.131134,472.580597,-1559.036377,96.835403,622.418274,-1598.644287,-167.839355,696.407104,-2257.351318,-161.782837,70.581940,-1564.049927,-235.627975,554.000671,-1605.999146,-171.704605,653.054626,-2887.864990,773.856689,548.080261,-2874.176025,747.919861,607.488586,-1358.795166,-24.060869,482.216766,-2858.681396,714.233521,552.639832,-2757.400146,762.089600,666.755676,-2800.947754,796.957886,666.455750,-2480.179688,943.859619,485.966461
1,0.002778,-2546.934570,930.262512,599.372070,-2708.807861,1193.127197,516.266541,-1515.723633,445.908691,1307.517456,-1598.542725,456.138977,1311.137085,-1547.960083,523.934692,1311.098511,-2508.224609,970.677246,549.047058,-2096.425781,975.306580,908.987732,-2139.544189,932.117188,966.611328,-2145.713867,911.343628,885.163513,-1572.949219,139.887405,493.627228,-1578.186523,132.547058,535.838745,-2720.565430,1160.357178,616.645630,-1371.592529,-53.968872,628.868347,-1565.606934,90.798721,664.918823,-1377.676392,-60.341076,671.276733,-1359.925415,-47.380733,562.542725,-1369.142822,-28.337517,522.948975,-1555.791382,-235.459000,585.060181,-2717.718262,1474.115723,940.999207,-2687.938721,1395.163696,941.428284,-2771.031738,1408.724854,939.559143,-2782.573730,1166.870117,615.727478,-2521.596191,897.270081,666.544617,-1625.344849,-189.493607,472.229614,-1559.053101,96.813438,622.488647,-1598.638916,-167.831940,696.407715,-2257.302979,-161.758286,70.636292,-1563.930786,-235.676971,553.973816,-1606.007935,-171.656464,653.070618,-2887.821777,773.873657,548.088928,-2874.165039,747.934143,607.488831,-1358.830566,-24.051462,482.196075,-2858.665527,714.221619,552.644348,-2757.389404,762.096252,666.786621,-2800.930664,796.976257,666.470215,-2480.201660,943.834351,485.981232
2,0.005556,-2546.923096,930.281311,599.386841,-2708.807373,1193.108398,516.285828,-1515.731812,445.869385,1307.519409,-1598.524292,456.119934,1311.143066,-1547.940430,523.927490,1311.103516,-2508.203613,970.673767,549.067932,-2096.417480,975.312683,908.957520,-2139.534180,932.116577,966.625793,-2145.713379,911.353455,885.133545,-1572.966797,139.888229,493.653290,-1578.213257,132.565704,535.843262,-2720.570801,1160.356445,616.630737,-1371.568848,-53.986656,628.934204,-1565.591431,90.788872,664.956238,-1377.743042,-60.228764,671.531006,-1359.940796,-47.366032,562.513550,-1369.167725,-28.395021,523.007385,-1555.931274,-235.626648,585.024292,-2717.704590,1474.084473,940.967285,-2687.940918,1395.163696,941.420898,-2771.009521,1408.724243,939.563721,-2782.584717,1166.892822,615.822449,-2521.591309,897.274597,666.562866,-1625.276367,-189.596100,472.227234,-1559.051392,96.793297,622.533325,-1598.572144,-168.063950,696.279907,-2257.310547,-161.758591,70.681358,-1563.863159,-235.696304,553.915466,-1605.997314,-171.651962,653.050659,-2887.807861,773.864929,548.083191,-2874.164307,747.922119,607.492676,-1358.735962,-23.748821,482.049896,-2858.648926,714.212830,552.642761,-2757.371582,762.093201,666.801392,-2800.912109,796.976318,666.470337,-2480.199707,943.796143,486.016357
3,0.008333,-2546.901367,930.270935,599.416687,-2708.798340,1193.102417,516.295471,-1515.742676,445.834900,1307.540894,-1598.522949,456.113007,1311.138916,-1547.935547,523.921631,1311.111816,-2508.193848,970.656921,549.068054,-2096.410645,975.281616,908.941040,-2139.507812,932.100403,966.616394,-2145.708252,911.337341,885.101562,-1572.979614,139.913773,493.649536,-1578.215332,132.542557,535.854492,-2720.559082,1160.351562,616.619690,-1371.544067,-53.962769,628.956482,-1565.634399,90.763100,664.938904,-1377.730713,-60.263447,671.733459,-1359.979248,-47.355938,562.488708,-1369.198120,-28.481745,523.057312,-1556.014526,-235.773819,585.057312,-2717.683105,1474.081055,940.959106,-2687.924805,1395.159424,941.420471,-2771.005859,1408.729492,939.557739,-2782.544189,1166.889038,615.753723,-2521.590576,897.286621,666.559875,-1625.252563,-189.562134,472.231842,-1559.065796,96.779884,622.581055,-1598.677490,-167.876648,696.406494,-2257.269775,-161.723923,70.727959,-1563.933594,-235.707703,553.947266,-1605.934082,-171.699402,653.024719,-2887.793945,773.873657,548.087585,-2874.170898,747.930603,607.478149,-1358.881836,-24.067240,482.158051,-2858.549316,714.207764,552.588440,-2757.364258,762.091370,666.807800,-2800.904297,796.974976,666.480713,-2480.218262,943.784729,486.036102
4,0.011111,-2546.895752,930.275085,599.450867,-2708.769531,1193.085815,516.315613,-1515.742432,445.820038,1307.566650,-1598.501221,456.100800,1311.149536,-1547.932251,523.943604,1311.122192,-2508.166992,970.644714,549.081177,-2096.421143,975.286499,908.944092,-2139.504639,932.084656,966.606567,-2145.692383,911.343323,885.103394,-1572.992554,139.890259,493.693298,-1578.217773,132.523972,535.859436,-2720.559814,1160.357544,616.608337,-1371.548462,-54.005016,628.971802,-1565.663940,90.769012,664.956421,-1377.748901,-60.281349,671.810303,-1359.994751,-47.359474,562.453491,-1369.195923,-28.489426,523.062744,-1556.046387,-235.856323,585.118774,-2717.669678,1474.076660,940.948486,-2687.896484,1395.164185,941.407837,-2770.994385,1408.720825,939.561768,-2782.553467,1166.850220,615.760559,-2521.594971,897.270142,666.588196,-1625.279541,-189.581558,472.225189,-1559.089722,96.767265,622.606262,-1598.682861,-167.864136,696.442932,-2257.280029,-161.720261,70.732712,-1563.865967,-235.722000,553.949951,-1605.938232,-171.715057,653.040649,-2887.761230,773.861572,548.092346,-2874.158936,747.919006,607.497009,-1358.768066,-23.777348,482.082275,-2858.526367,714.221985,552.577026,-2757.357422,762.090027,666.809692,-2800.900146,796.978455,666.504211,-2480.222900,943.801147,486.036987
5,0.013889,-2546.911133,930.266479,599.455261,-2708.780762,1193.089478,516.310913,-1515.759888,445.793671,1307.558472,-1598.493652,456.098511,1311.146729,-1547.938599,523.906128,1311.151245,-2508.154053,970.636108,549.084412,-2096.412598,975.273621,908.934692,-2139.501221,932.092041,966.611633,-2145.650879,911.297424,885.156433,-1573.003662,139.877731,493.710785,-1578.223145,132.519073,535.869995,-2720.525879,1160.350586,616.585266,-1371.563965,-54.000381,628.974670,-1565.661743,90.758774,664.965820,-1377.730835,-60.262165,671.785950,-1360.002319,-47.341305,562.425415,-1369.212036,-28.512756,523.081604,-1556.056763,-235.841644,585.126160,-2717.651367,1474.066406,940.958130,-2687.848877,1395.101440,941.400513,-2770.986572,1408.718872,939.557434,-2782.548584,1166.848999,615.759399,-2521.582764,897.254150,666.599854,-1625.266479,-189.611191,472.210327,-1559.083984,96.749336,622.633057,-1598.670166,-167.876297,696.449219,-2257.298828,-161.761292,70.725281,-1563.789917,-235.763077,553.969604,-1605.961182,-171.701920,653.068298,-2887.752441,773.858521,548.080505,-2874.177246,747.907715,607.491760,-1358.851562,-24.117651,482.217682,-2858.518066,714.204895,552.585571,-2757.329346,762.106201,666.788330,-2800.893555,796.972229,666.490784,-2480.229004,943.797058,486.025726
